,feature_66,feature_349,feature_442,feature_478,feature_125,feature_34,feature_519,feature_246,feature_60,feature_164,feature_574
0,23.2216,0.0237,0.9639,6.0266,15.82,8.6915,1.5823731761022553,1.1537195298663059,0.6991,0.128,0.5960686650094608
1,27.2716,0.0272,0.8427,4.8218,15.73,8.3006,1.5865370925610849,1.8443163858705323,-1.4173,0.157,0.1828
2,14.7061,0.0163,0.9193,6.1589,15.69,8.7418,1.5711402580732228,1.2708847430824508,10.2355,0.127,0.3066
3,36.0791,0.03,0.7158,5.0612,15.77,8.6829,1.6251802851498816,0.5974843140741224,9.8518,0.135,0.2887
4,24.3057,0.0243,1.1255,7.4828,15.95,8.5891,1.5841329519825187,1.34763590797359,1.0336,0.108,0.2772
5,19.1189,0.0205,0.4782,4.1813,15.75,9.0744,1.561494339392217,1.3142636698778025,3.6809,0.056,0.2619
6,22.2064,0.0245,0.656,5.9339,15.7,8.9132,1.415,0.9888,2.8109,0.149,0.2467
7,25.3099,0.0174,0.932,3.5466,15.61,8.3383,1.5824052617866895,1.3396053270782375,1.5036,0.193,0.2392
8,24.2829,0.0105,1.2771,9.1221,15.95,8.659,1.6339526919811243,0.6796016558990514,23.8245,0.187,0.1882
9,21.0974,0.022433189332107584,0.5317,3.3971,15.87,8.7512,1.7886,1.7120789480615024,1.5745,0.102,0.3891
10,23.905,0.0339,0.565,4.7353,16.01,9.534,2.3005,0.6476,2.9282,0.251,0.3561
11,17.5983,0.0172,0.9361,5.2686,15.99,8.5288,1.5879547230335187,0.8769917036924251,5.4991,0.248,0.1496
12,32.7483,0.0198,0.9175,6.8676,15.71,8.1605,2.1356,2.5893,-2.5027,0.064,0.3659
13,22.3647,0.0116,0.7316,7.0359,15.95,8.8043,1.598108445842675,1.257610856658503,0.34,0.115,0.2236
14,22.3694,0.0225,0.8532,6.8146,15.79,8.7556,1.5545,1.6005288229076993,4.1691,0.138,0.2908
15,29.1429,0.0236,0.7032,2.7876,15.71,8.5571,1.6051871325853388,1.3396606897941818,-3.74,0.125,0.3378192957769587
16,25.480736034817074,0.0148,0.7139,5.426736533262667,15.84,9.131,1.4338,0.8749,5.1815346453987985,0.112,0.2843
17,38.38144238139704,0.0381,0.8222,9.1675,15.73,8.5687,1.6413241065704398,0.857638842653736,1.9482,0.18,0.227
18,15.0471,0.0253,0.6144,3.4324,16.07,8.7187,1.1195,1.1529,8.1455,0.076,0.2824
19,22.1659,0.0184,0.9383,9.9444,15.54,8.441,1.5739646502716935,1.3268613181692022,4.9555,0.11306669652887254,0.2835
20,37.258,0.014,0.5593,5.9269,15.92,9.5642,1.6340244337006775,0.5284438965338609,9.1882,0.136,0.169
21,21.7095,0.0162,0.5836,10.1458,15.66,8.6706,1.606414140074825,1.8764141793543863,2.2855,0.035,0.2372
22,23.1287,0.0229,0.78,7.5571,15.79,8.7867,1.5809109698447081,1.3461634428821114,0.6191,0.118,0.2236
23,30.7593,0.0209,0.6373,3.369,15.71,8.8581,1.5847410293129414,1.3057097220837368,-3.7509,0.168,0.4025
24,19.2834,0.0154,0.7655,4.8707,15.73,8.8624,1.6072,0.4214,4.9118,0.107,0.2345
25,27.2876,0.0241,0.9965,5.817,15.84,8.6397,1.581438859003309,1.484837744373307,0.12,0.13,0.206
26,24.3905,0.0445,0.7928,3.4949,15.99,9.5713,1.5828658948377652,1.217400524198249,1.8173,0.128,0.1742
27,21.2465,0.0245,0.7233,3.9522,15.87,8.2345,0.889,0.9908,2.7927,0.145,0.1233
28,26.2754,0.0177,0.6667,8.8016,15.84,9.1502,1.5771181914693864,1.4674189963247881,2.1109,0.078,0.2027
29,29.809,0.0199,0.6641,3.706,15.75,8.6544,2.4239,0.7867,-4.4109,0.213,0.2805
30,41.2374,0.0373,0.7584,7.1799,15.73,8.845738697398529,1.6261824173740551,0.8615644179816391,8.9136,0.062,0.4257
31,30.4914,0.0278,1.1255,6.11,15.95,8.5891,1.564357010617001,1.3508779452896742,-2.0764,0.142,0.2494
32,22.9635,0.0273,1.0541,6.0246,15.75,8.287,1.6113056030542205,1.226781454156228,0.5518,0.062,0.2775
33,26.2691,0.017,0.442,2.9235,15.73,8.5851,1.5396,0.863,-0.9364,0.189,0.2056
34,21.7926,0.0207,0.9238,4.0558,15.92,8.572,1.6398,1.0825,5.2064,0.158,0.2937
35,23.8157,0.0319,0.6987,5.522911766505863,15.97,9.7836,1.5809012183400681,1.3828965971894804,1.2836,0.114,0.2836
36,26.4132,0.0221,0.656,7.1443,15.7,8.9132,1.2376,1.0542,1.0027,0.034,0.3364
37,30.3233,0.0256,0.7534,2.3646,15.74,9.0447,1.6881,1.2253,-2.6564,0.241,0.3561
38,26.448,0.0253,0.8859,10.0705,15.76,8.9191,2.0305,1.0816,-0.0636,0.054,0.357
39,37.90537097249842,0.0164,0.6901,6.1617,15.68,9.2405,1.6345902492518825,0.5323147603402014,3.9055,0.071,0.3143
40,21.6831,0.0227,0.5317,4.3582,15.77,8.7512,2.1018,1.0371,2.0318,0.068,0.2497
41,27.4102,0.032825069528903766,1.0644,5.7628,16.05,8.9336,1.6073802367300487,0.5892315907407193,17.3873,0.088,0.238
42,26.8979,0.0241,0.6815,4.319,15.73,8.8909,1.6407,1.2846,-0.1545,0.084,0.1874
43,27.3211,0.0169,0.7053,3.2036,15.8,8.7635,1.0659,0.8249,-0.3309,0.175,0.2679
44,31.4501,0.0144,0.5632,6.748,15.85,9.1855,1.5849501058285846,1.162663888374207,-5.7182,0.101,0.2709
45,23.5578,0.0247,0.8716,6.0536,15.98,9.0121,1.5814685511718847,0.9961717843603257,3.65,0.08,0.1374
