,feature_60,feature_478,feature_133,feature_349,feature_65,feature_435,feature_34
0,0.6991,6.0266,2.3766,0.0237,19.3009,9.9805,8.6915
1,-1.4173,4.8218,2.3805,0.0272,21.4173,12.5349,8.3006
2,10.2355,6.1589,2.3244,0.0163,9.7645,12.8413,8.7418
3,9.8518,5.0612,2.3725,0.03,30.1482,10.5202,8.6829
4,1.0336,7.4828,2.3401,0.0243,18.9664,11.1054,8.5891
5,3.6809,4.1813,2.2797,0.0205,16.3191,4.3896,9.0744
6,2.8109,5.9339,2.2864,0.0245,17.1891,11.5102,8.9132
7,1.5036,3.5466,2.3081,0.0174,18.4964,14.6852,8.3383
8,23.8245,9.1221,2.2592,0.0105,16.1755,14.2503,8.659
9,1.5745,3.3971,2.2877,0.02200343121715196,18.4255,8.041,8.7512
10,2.9282,4.7353,2.212,0.0339,17.0718,18.972,9.534
11,5.4991,5.2686,2.2773,0.0172,14.5009,19.7531,8.5288
12,-2.5027,6.8676,2.2959,0.0198,22.5027,5.9122,8.1605
13,0.34,7.0359,2.3323,0.0116,19.66,8.9372,8.8043
14,4.1691,6.8146,2.2674,0.0225,15.8309,10.0583,8.7556
15,-3.74,2.7876,2.2564,0.0236,23.74,9.6358,8.5571
16,3.946794348640868,5.625585845161292,2.2784,0.0148,19.82129319169181,8.919,9.131
17,1.9482,9.1675,2.3735,0.0381,34.6363856549799,14.1928,8.5687
18,8.1455,3.4324,2.1911,0.0253,11.8545,5.9052,8.7187
19,4.9555,9.9444,2.3499,0.0184,15.0445,27.963788399291673,8.441
20,9.1882,5.9269,2.2928,0.014,30.8118,13.8036,9.5642
21,2.2855,10.1458,2.3146,0.0162,17.7145,2.7861,8.6706
22,0.6191,7.5571,2.3386,0.0229,19.3809,9.2987,8.7867
23,-3.7509,3.369,2.272,0.0209,23.7509,13.1301,8.8581
24,4.9118,4.8707,2.2802,0.0154,15.0882,8.2562,8.8624
25,0.12,5.817,2.3122,0.0241,19.88,9.9237,8.6397
26,1.8173,3.4949,2.2728,0.0445,18.1827,13.2642,9.5713
27,2.7927,3.9522,2.2474,0.0245,17.2073,10.9953,8.2345
28,2.1109,8.8016,2.3216,0.0177,17.8891,8.6069,9.1502
29,-4.4109,3.706,2.4241,0.0199,24.4109,16.4288,8.6544
30,8.9136,7.1799,2.3684,0.0373,31.0864,4.7491,10.095633903464792
31,-2.0764,6.11,2.2937,0.0278,22.0764,14.5455,8.5891
