,feature_26,feature_34,feature_54,feature_57,feature_60,feature_64,feature_78,feature_100,feature_112,feature_118,feature_123,feature_132,feature_133,feature_165,feature_205,feature_239,feature_276,feature_283,feature_337,feature_391,feature_416,feature_435,feature_478,feature_563,feature_569,feature_573,feature_580,feature_581
0,1.2825,8.6915,4.645,0.9202,0.6990999999999999,5.955300000000001,-0.013799999999999998,0.0391,231.72565148390692,59.266200000000005,2.932,0.9956,2.3766,0.128,0.2448,0.0081,0.0412,0.0058000000000000005,10.0329,0.9877999999999999,8.9776,9.9805,6.026599999999999,267.07,2.9804999999999993,106.68391307434258,0.019400000000000004,0.005900000000000001
1,1.2525,8.3006,4.553,0.9304,-1.4172999999999987,9.699,-0.03259999999999999,-0.028800000000000003,231.76582225503185,58.706300000000006,3.7030000000000003,1.0,2.3805,0.104,0.1402,0.0041,0.0562,0.0045,13.2427,0.5209,4.664499999999999,12.5349,4.8218,250.084,2.5951,9.02,0.027308095256160167,0.0072228041011540775
2,0.989,8.7418,4.586,0.9247,10.235500000000002,13.0423,-0.005299999999999997,-0.0791,232.24425697996668,55.8504,4.375000000000001,0.9972,2.3244,0.078,0.1411,0.005,0.0784,0.0064,11.0695,0.8374999999999999,3.7542,12.8413,6.1589,264.272,1.8844,9.37,0.02758498866279889,0.0033856176391556868
3,1.2832999999999999,8.6829,4.599,0.9354,9.851800000000004,20.3227,-0.049699999999999994,-0.024199999999999996,231.01918218989707,58.28309999999999,2.88,0.9946,2.3725,0.147,0.1385,0.0043,0.1716,0.0088,8.0615,0.7167,4.2172,10.5202,5.0612,262.281700138992,2.437078549887427,10.37,0.0141,0.0038
4,0.9725,8.5891,4.617,0.9289999999999999,1.0336000000000012,9.9475,0.02149999999999999,-0.007400000000000002,232.38982943331266,58.02620000000001,3.383,0.9971,2.3401,0.083,0.1723,0.0043,0.0723,0.0035,10.0529,0.6728,4.2923,11.1054,7.482800000000001,261.5943697665144,2.4621369947382448,6.38,0.011814642997451032,0.0031758644630357283
5,1.2757,9.0744,4.627,0.9228,3.6809000000000016,7.534000000000001,-0.03980000000000001,0.04839999999999999,231.3511085673008,60.9507,2.84,0.9974,2.2797,0.124,0.1967,0.0038,0.031,0.0025,7.9101,0.8003,9.4944,4.3896,4.1813,264.272,1.8844,7.830000000000001,0.02418632842016586,0.004099138945756414
6,1.2945000000000002,8.9132,4.555,0.9318999999999998,2.8108999999999997,10.9182,-0.0355,0.03160000000000002,231.1908,58.9076,3.082,0.9979000000000001,2.2864,0.077,0.10959999999999999,0.005499999999999999,0.0341,0.0083,9.565000000000001,0.5143,6.0829,11.5102,5.9339,264.272,1.8844,11.65,0.00568024425003915,0.004326600309042659
7,1.3142999999999998,8.3383,4.604,0.9347,1.5035999999999998,8.7662,-0.0433,-0.027900000000000005,231.60638383641864,58.282000000000004,3.217,0.9972,2.3080999999999996,0.02,0.1346,0.006999999999999999,0.0536,0.006000000000000001,7.5607,1.3295,5.306,14.6852,3.5465999999999998,264.272,1.8844,8.18,0.015399254588770638,0.004636210502823112
8,1.3122,8.659,4.4919789402897266,0.9138999999999999,23.8245,11.3019,-0.005200000000000004,0.12180000000000002,231.79320796673628,58.4808,2.882,0.9977999999999999,2.2592,0.117,0.1164,0.0062,0.1117,0.007499999999999998,8.9855,1.2356,8.7236,14.2503,9.1221,267.064,0.4119,11.21,0.040991653424051096,0.013511997198928089
9,1.2685,8.7512,4.513,0.9295,1.574500000000001,8.4647,-0.014449144221553007,0.023300000000000015,233.7235,59.9764,1.6710000000000003,1.0,2.2877,0.209,0.169,0.0047,0.1908,0.0044,11.8301,0.7389,2.5736,8.041,3.3971,264.272,1.8844,5.48,0.0275,0.0098
