,feature_1,feature_20,feature_22,feature_29,feature_34,feature_60,feature_91,feature_92,feature_103,feature_104,feature_112,feature_118,feature_122,feature_130,feature_131,feature_154,feature_206,feature_248,feature_337,feature_417,feature_426,feature_456,feature_461,feature_511,feature_580,feature_588
0,3079.77,12.3686,-4750.75,66.4,8.6915,0.6991000000000002,9131.0599,-0.1835,0.08110000000000005,-0.0095,232.28232,59.2662,15.76,0.0,0.8202999999999999,0.0127,9.22,0.0152,10.0329,3.439,2.8888,4.913500000000001,14.755400000000002,84.9279,0.0194,0.0194
1,3001.36,12.4959,-5410.75,75.8111,8.3006,-1.4173000000000004,8795.69,0.016700000000000027,-0.034599999999999985,-0.0163,231.95054,58.7063,15.76,0.2837999999999999,0.8291,0.0065,7.31,0.02438,10.23882,4.810199999999998,2.8863,2.9724,12.157,25.2308,0.0082,0.0276
2,3042.78,12.5553,-6456.75,71.3111,8.7418,10.235499999999998,8615.15,-0.03160000000000001,-0.05630000000000001,-0.0108,231.84380000000002,55.8504,15.65,-0.2837999999999999,0.5438,0.014800000000000002,8.8,0.0345,11.0695,2.3289,2.166,4.964,21.1169,46.2963,0.01626,0.0287
3,3018.64,12.4469,-5775.0,70.0556,8.6829,9.851799999999999,8363.73,0.010499999999999982,-0.04590000000000002,-0.0037999999999999996,233.30186,58.283100000000005,15.729999999999999,0.04729999999999975,0.8048,0.0159,7.77,0.0287,8.0615,3.6709999999999994,6.1643,4.4921,41.7748,69.587,0.0141,0.014100000000000001
4,3020.29,12.4618,-6900.5,67.0222,8.5891,1.0335999999999992,8510.42,-0.028700000000000014,0.011199999999999983,-0.0119,231.67462,58.0262,15.9,0.4258000000000001,0.7611000000000001,0.007799999999999999,11.06,0.02708,10.0529,3.4488,3.7934,4.5447,23.145699999999998,36.2869,0.013359999999999999,0.0114
5,2964.69,12.5492,-5546.0,70.4,9.0744,3.680900000000002,8365.7701,0.03519999999999999,-0.005399999999999997,-0.0115,230.97208,60.95069999999999,15.82,1.6550000000000002,0.8136999999999999,0.006899999999999999,6.26,0.01918,7.910100000000001,3.5483,8.707,2.1367,37.3638,32.9718,0.014700000000000003,0.0251
6,2940.74,12.4124,-5408.750000000001,73.9778,8.9132,2.810900000000002,9047.8399,-0.023099999999999992,-0.012200000000000006,-0.0093,231.1908,58.9076,15.76,0.0,0.8253,0.014,8.8,0.029899999999999996,9.565,4.6164,3.7058,3.601,31.317399999999996,58.9023,0.01102,0.0059
7,3043.08,12.5004,-5095.0,69.4222,8.3383,1.5035999999999992,8493.8199,-0.1509,0.06930000000000001,-0.0136,232.3809,58.282000000000004,15.65,2.4579999999999997,0.8346,0.013699999999999999,5.24,0.022439999999999998,7.560699999999999,3.2594999999999996,5.5723,3.4455,23.564899999999998,51.3291,0.0157,0.014800000000000002
8,2932.61,12.5404,-5447.75,67.1333,8.659,1.6894599999999997,9317.1698,0.0553,0.013399999999999987,-0.0026,231.09218,58.4808,15.9,-0.1891999999999997,0.8194000000000001,0.0177,13.3,0.03406000000000001,8.9855,3.0609,5.2707,3.1182,32.3594,61.298519999999996,0.01736,0.017660000000000002
9,3031.78,12.5582,-4958.0,72.4889,8.7512,1.5744999999999991,8877.82208,-0.038300000000000015,0.036500000000000005,-0.0102,233.7235,59.976400000000005,15.92,-0.14189999999999994,0.8712,0.0095,5.1,0.03474,11.8301,5.3505,1.912,3.9776999999999996,15.4796,46.022,0.0275,0.0275
