,feature_1,feature_20,feature_22,feature_34,feature_38,feature_60,feature_92,feature_103,feature_104,feature_112,feature_116,feature_122,feature_127,feature_130,feature_131,feature_154,feature_206,feature_228,feature_320,feature_337,feature_426,feature_461,feature_489,feature_511,feature_520
0,3079.7700000000004,12.368599999999999,-4750.75,8.6915,66.1976,0.6990999999999996,-0.1835,0.08109999999999999,-0.0095,232.28232,785.5426,15.76,2.813,0.0,0.8202999999999999,0.0127,9.22,0.0179,11.051800000000002,10.0329,2.8888,14.755400000000002,472.0497,84.9279,3.2924000000000007
1,3001.36,12.4959,-5410.75,8.3006,65.9546,-1.4173000000000002,0.016700000000000027,-0.03459999999999999,-0.0163,231.95054,672.3211,15.76,2.99,0.2837999999999999,0.8291,0.0065,7.31,0.0155,7.0269,10.736,2.8863,12.157,430.0637,25.2308,5.104620000000001
2,3042.78,12.5553,-6456.75,8.7418,66.3572,10.235499999999998,-0.03160000000000001,-0.0563,-0.0108,231.88954,751.7695,15.65,2.918,-0.2837999999999999,0.5438,0.014800000000000002,8.8,0.0129,10.8718,11.0695,2.166,21.1169,389.4737,46.2963,7.4392
3,3018.64,12.4469,-5775.0,8.6829,66.5518,9.851799999999997,0.010499999999999982,-0.04590000000000002,-0.0037999999999999996,233.30186,705.2765,15.729999999999999,2.749,0.04729999999999975,0.8048,0.0159,7.77,0.0163,9.476,8.0615,6.164300000000001,41.7748,498.5871,71.92200000000001,6.740620000000001
4,3020.29,12.4618,-6900.5,8.5891,66.0981,1.0335999999999994,-0.028700000000000014,0.011199999999999988,-0.0119,231.72818,719.8049,15.9,2.776,0.4258000000000001,0.7611000000000001,0.007799999999999999,11.06,0.0136,10.0446,10.0529,3.7934,23.145699999999998,213.8249,36.2869,5.86016
5,2964.69,12.549199999999999,-5546.0,9.0744,66.2771,3.6809000000000003,0.03519999999999999,-0.005400000000000007,-0.0115,230.74332,711.4945,15.82,3.064,1.6550000000000002,0.8136999999999999,0.006899999999999999,6.26,0.0161,3.8933000000000004,7.910100000000001,8.707,37.3638,59.1402,32.9718,4.35446
6,2940.74,12.412399999999998,-5408.750000000001,8.9132,66.2465,2.810900000000001,-0.023099999999999992,-0.0122,-0.0093,231.1908,777.1425,15.76,2.789,0.0,0.8253,0.014,8.8,0.0317,7.225899999999999,9.565,3.7058,31.317399999999996,367.1859,58.9023,6.520660000000001
7,3043.08,12.5004,-5095.0,8.3383,65.965,1.5036000000000005,-0.1509,0.0693,-0.0136,232.3809,741.9427,15.65,2.982,2.4579999999999997,0.8346,0.013699999999999999,5.24,0.0173,8.1627,7.560699999999999,5.5723,23.564899999999998,309.8039,51.3291,4.68362
8,2932.61,12.5404,-5447.75,8.659,65.8389,1.6894600000000026,0.0553,0.01340000000000001,-0.0026,230.72428,718.5777,15.9,3.094,-0.1891999999999997,0.8194000000000001,0.0177,13.3,0.0192,6.1797,8.9855,5.2707,32.3594,191.7582,61.29852,7.35724
9,3031.78,12.5582,-4958.0,8.7512,66.1116,1.5745,-0.038300000000000015,0.036500000000000005,-0.0102,233.7235,826.7217,15.92,2.783,-0.14189999999999994,0.8712,0.0095,5.1,0.0064,8.6833,11.8301,1.912,15.4796,322.02628,46.022,6.2138599999999995
10,3028.08,12.5967,-5345.25,9.534,66.2731,2.9281999999999995,0.019299999999999987,-0.0374,-0.0086,229.0942,681.0371,15.95,2.58,0.5203999999999996,0.6778,0.013,6.990000000000001,0.0131,7.2602,8.5805,8.241899999999998,13.0192,39.4165,52.0231,4.73412
11,3003.82,12.4998,-5192.5,8.5288,66.0973,5.499100000000002,-0.030100000000000005,-0.016599999999999993,-0.0105,230.7184,729.4385,15.94,2.6220000000000003,-0.5677000000000001,0.6786,0.014999999999999998,7.32,0.021,11.3343,11.094,3.9779000000000004,27.419400000000003,710.495,29.4537,4.7135
12,2990.57,12.537300000000002,-6623.75,8.1605,66.3805,-2.5027,-0.1331,0.009900000000000016,-0.0094,233.8565,801.3997,15.699999999999998,2.533,0.0,0.7048,0.0153,9.69,0.023500000000000004,4.2805,10.1164,3.7780000000000005,33.2053,718.0915,44.94788,5.873519999999999
13,2986.5,12.4849,-5416.0,8.8043,66.2008,0.3400000000000003,-0.02720000000000001,-0.03230000000000001,-0.013,230.8273,722.202,15.96,2.892,-0.9461000000000002,0.7527,0.0073,10.32,0.0135,6.6974,11.13,3.5025000000000004,30.5482,670.6294,54.615399999999994,3.3066
14,3022.49,12.5914,-5187.25,8.7556,66.2801,4.169100000000002,0.04250000000000002,-0.0867,-0.0121,234.1616,725.1428,15.82,2.654,-0.4258000000000001,0.6888,0.0065,10.11,0.0119,4.6509,10.0258,2.5595,24.0618,675.4098,39.6285,7.103619999999999
15,2913.4,12.5488,-5153.750000000001,8.5571,66.145,-3.7400000000000015,0.03299999999999998,-0.04,-0.0098,231.8477,762.0218,15.750000000000002,2.389,-3.4960000000000004,0.5638,0.0082,4.12,0.0101,8.643,10.0281,4.319,55.391,204.5421,34.7826,5.670659999999999
16,3018.8,12.43956,-5334.749999999999,9.131,65.9561,5.31836,0.0,0.0,-0.0108,231.8164,735.5572,15.8,2.686,0.0,0.7865,0.005699999999999999,9.198,0.0108,8.7444,8.75342,2.2301,44.9213,97.1212,42.3963,5.9816400000000005
