,feature_1,feature_17,feature_20,feature_22,feature_34,feature_60,feature_65,feature_92,feature_104,feature_116,feature_122,feature_130,feature_131,feature_148,feature_206,feature_288,feature_300,feature_320,feature_337,feature_424,feature_461,feature_489,feature_574,feature_582
0,3079.77,9.859,12.3686,-4750.75,8.6915,0.6990999999999995,19.3009,-0.1835,-0.009499999999999998,785.5426,15.76,0.0,0.8203000000000001,0.0173,9.22,0.091,0.0574,11.0518,10.0329,81.7554,14.7554,472.0497,0.6456,68.7444
1,3001.36,10.671,12.4959,-5410.75,8.3006,-1.4172999999999991,21.4173,0.016700000000000013,-0.0163,672.3211,15.76,0.2837999999999999,0.8291,0.014,7.31,0.0899,0.0477,7.0269,13.2427,71.9194,12.157,430.0637,0.1828,44.5901
2,3042.78,9.8446,12.5553,-6456.749999999999,8.7418,10.235500000000004,9.7645,-0.0316,-0.010799999999999999,751.7695,15.65,-0.2837999999999999,0.5438,0.0189,8.8,0.0722,0.0335,10.8718,11.0695,58.0425,21.1169,389.4737,0.3066,81.03254
3,3018.64,10.5954,12.4469,-5775.0,8.6829,9.851799999999997,30.1482,0.010499999999999983,-0.003800000000000001,705.2765,15.73,0.04729999999999975,0.8048,0.026699999999999998,7.77,0.1869,0.0728,9.476,8.0615,88.6322,41.7748,498.5871,0.2887,49.749
4,3020.29,9.4946,12.4618,-6900.5,8.5891,1.033599999999999,18.9664,-0.02869999999999999,-0.011900000000000003,719.8049,15.9,0.4258000000000001,0.7611,0.0106,11.06,0.1188,0.037399999999999996,10.0446,10.0529,70.6281,23.145700000000005,213.8249,0.2772,124.63727907845825
5,2964.69,9.7899,12.5492,-5546.0,9.0744,3.6809000000000016,16.3191,0.035200000000000016,-0.0115,711.4945,15.82,1.6550000000000002,0.8137,0.0069,6.26,0.239,0.0569,3.8932999999999995,7.9101,57.2251,37.3638,59.1402,0.2619,78.0955
6,2940.74,9.9299,12.4124,-5408.75,8.9132,2.810900000000001,17.1891,-0.023099999999999985,-0.009299999999999998,777.1425,15.76,0.0,0.8252999999999999,0.025099999999999997,8.8,0.11010000000000002,0.033699999999999994,7.225899999999999,9.565,70.1378,31.317399999999996,367.1859,0.24670000000000003,53.9706
7,3043.08,9.8134,12.5004,-5095.0,8.3383,1.5036000000000005,18.4964,-0.1509,-0.0136,741.9427,15.65,2.4579999999999997,0.8346,0.0189,5.24,0.16300000000000006,0.0085,8.1627,7.5607,50.3276,23.5649,309.8039,0.2392,50.40936
8,2932.61,9.3144,12.5404,-5447.75,8.659,23.824499999999997,16.1755,0.055300000000000016,-0.0025999999999999994,718.5777,15.9,-0.1891999999999997,0.8194,0.0221,13.3,0.1479,0.0583,6.1796999999999995,8.9855,50.6425,32.3594,191.7582,0.18820000000000003,82.8602
9,3031.78,10.2769,12.5582,-4958.0,8.7512,1.5744999999999998,18.4255,-0.03830000000000001,-0.0102,826.7217,15.92,-0.14189999999999994,0.8712,0.0132,5.1,0.06160000000000001,0.0961,8.6833,11.8301,91.1204,15.479599999999998,273.04304,0.3891,117.0945
10,3028.08,9.4578,12.5967,-5345.25,9.534,2.928200000000002,17.0718,0.0193,-0.0086,681.0371,15.95,0.5203999999999996,0.6778,0.0144,6.99,0.2194,0.0428,7.2602,8.5805,38.6949,13.0192,39.4165,0.35609999999999997,54.057460000000006
11,3003.82,10.832,12.4998,-5192.5,8.5288,5.499100000000001,14.5009,-0.030100000000000012,-0.010499999999999999,729.4385,15.94,-0.5677000000000001,0.6786,0.021399999999999995,7.32,0.1281,0.0703,11.3343,11.094,62.3963,27.4194,710.495,0.1496,86.07438
12,2990.57,9.407,12.5373,-6623.750000000001,8.1605,-2.5027,22.5027,-0.1331,-0.0094,801.3997,15.7,0.0,0.7048,0.024099999999999996,9.69,0.1273,0.0216,4.2805,10.1164,58.3955,33.2053,718.0915,0.3659,44.0961
13,2986.5,10.5436,12.4849,-5416.0,8.8043,0.340000000000001,19.66,-0.027199999999999995,-0.013,722.202,15.96,-0.9461000000000002,0.7527,0.0092,10.320000000000002,0.1075,0.0308,6.6974,11.13,64.68739999999998,30.5482,670.6294,0.2236,262.1302
14,3219.75,9.5974,12.5914,-5187.25,8.7556,4.1690999999999985,15.8309,0.04250000000000002,-0.0121,725.1428,15.82,-0.4258000000000001,0.6888,0.008,10.110000000000001,0.0812,0.0444,4.6509,10.0258,49.48440000000001,24.0618,675.4098,0.2908,84.01830000000001
15,2913.4,9.6284,12.5488,-5153.75,8.5571,-3.74,23.74,0.032999999999999974,-0.009799999999999998,762.0218,15.75,-3.4960000000000004,0.5638,0.0159,4.12,0.1219,0.0171,8.643,10.0281,80.668,55.391,204.5421,0.7147753778962487,55.68858000000001
16,3018.8,10.3504,12.27685990738101,-5334.75,9.131,2.276360000000001,17.72364,0.0,-0.010799999999999999,735.5572,15.8,0.0,0.7865000000000001,0.0096,9.142654384985018,0.0711,0.0341,8.7444,9.1425,85.2863,44.9213,97.1212,0.2843,48.77404000000001
17,2942.41,9.778,12.6278,-5410.5,8.5687,1.9482000000000004,34.62861705988786,0.015999999999999986,-0.007200000000000001,749.6408,15.77,0.0,0.8216999999999999,0.026199999999999998,13.530000000000001,0.21589999999999998,0.041999999999999996,9.9818,10.2062,37.1837,20.7031,482.2633,0.22699999999999998,97.92103907845826
18,2848.46,10.1278,12.4716,-5233.75,8.7187,8.145500000000002,11.8545,0.0636,-0.011400000000000002,798.0013,16.02,-0.7568999999999998,0.7403,0.0055,4.95,0.0834,0.053099999999999994,8.8329,12.8157,99.6876,25.4407,897.6526,0.2824,77.973
19,3010.26,10.4363,12.4049,-4173.894919464572,8.441,4.955499999999998,15.0445,-0.08230000000000001,-0.0097,691.3175,15.59,-0.14189999999999994,0.6847,0.0286,14.740000000000002,0.0903,0.0999838819435499,6.369000000000001,8.804600000000002,51.58520000000001,14.845300000000002,710.3203,0.2835,91.07382
20,3033.29,10.0634,12.6278,-6363.0,9.5642,9.188199999999998,30.8118,0.015599999999999989,-0.0086,809.4099,15.830000000000002,-0.3784000000000001,0.7463,0.026199999999999998,9.02,0.42921317865646114,0.030699999999999995,10.0419,8.4756,54.5945,26.161,848.0874,0.169,89.32378000000001
21,2941.23,9.6635,12.58,-6257.5,8.6706,2.285500000000001,17.7145,-0.10710000000000001,-0.0062,730.9317,15.65,1.0399999999999998,0.657,0.0203,14.91,0.11790000000000002,0.0281,6.6024,13.5441,46.8068,16.8406,420.6573,0.23720000000000002,59.514680000000006
22,3043.22,10.0466,12.4849,-5607.25,8.7867,0.6190999999999998,19.3809,0.09989999999999999,-0.008,742.3405,15.74,-0.9461000000000002,0.6893,0.0102,11.180000000000001,0.2329,0.0522,6.2683,11.5569,70.9477,28.8304,212.4031,0.2236,132.84612
23,3021.61,9.3651,12.4124,-5720.25,8.8581,-3.7509000000000015,23.7509,0.10240000000000002,-0.0086,710.5846,15.73,-3.449,0.5042,0.0157,4.95,0.2818,0.0648,9.5407,9.9534,104.409,21.7993,450.7389,0.4025000000000001,101.85998000000001
24,3048.76,10.4536,12.512,-5122.5,8.8624,4.911800000000001,15.0882,0.011800000000000007,-0.011400000000000002,782.5507,15.75,0.7096,0.8543,0.0088,7.04,0.0752,0.0839,8.1451,9.5915,122.3571,36.519,450.7223,0.2345,58.062799999999996
25,2980.566,10.3503,12.4761,-5434.0,8.6397,0.12000000000000101,19.88,-0.1293,-0.0092,804.2368,15.870000000000001,-0.4258000000000001,0.7785,0.022299999999999997,8.33,0.10779999999999999,0.0052,7.1292,9.1303,74.1514,31.398699999999998,351.4956,0.206,34.4153
26,2943.9,10.4094,12.4753,-6349.749999999999,9.5713,1.8173000000000006,18.1827,0.025699999999999973,-0.016,763.2943,15.92,0.23650000000000015,0.7287,0.0257,5.14,0.10319999999999999,0.026,9.9673,8.5625,78.12500000000001,66.32617791614695,0.0,0.1742,83.9739
27,2965.41,9.8053,12.7051,-5419.75,8.2345,2.7927,17.2073,0.004999999999999978,-0.0091,815.9082,15.870000000000001,-0.8042000000000002,0.7003,0.0112,6.01,0.1437,0.0327,8.8706,8.673999999999998,72.2936,19.1756,106.7403,0.12330000000000002,58.221039999999995
28,3030.27,9.999,12.4608,-6154.0,9.1502,2.1108999999999996,17.8891,0.1397,-0.004200000000000001,806.2734,15.830000000000002,-0.4730999999999999,0.7589,0.0246,13.410000000000002,0.12070000000000002,0.0174,5.1685,8.099,91.3669,23.6929,355.7932,0.2027,112.04581999999999
29,3035.89,9.3572,12.58,-5341.25,8.6544,-4.410899999999999,24.4109,-0.027999999999999994,-0.010100000000000001,730.2174,15.84,-2.553,0.8014000000000001,0.008,5.5,0.15410000000000001,0.0642,6.7671,8.0188,154.9622,32.6596,251.19709999999998,0.2805,55.04354
30,2943.58,9.1952,12.5698,-5474.25,10.056017592522666,8.913600000000004,31.0864,0.1834,-0.0039000000000000003,737.8589,15.74,-0.3310999999999997,0.7681,0.0189,10.220000000000002,0.1116,0.050300000000000004,6.1812,7.9086,95.2363,53.5488,0.0,0.4257,56.8579
31,3006.39,9.4949,12.5218,-6305.249999999999,8.5891,-2.0764,22.0764,-0.01090000000000001,-0.0141,755.3514,15.93,-1.655,0.7591,0.0059,9.35,0.1247,0.04109999999999999,8.1083,10.3051,129.9072,33.3826,0.0,0.2494,141.61545815691653
32,3007.75,9.8632,12.5488,-5639.75,8.287,0.5517999999999995,19.4482,-0.003600000000000013,-0.0123,782.4785,15.77,0.04729999999999975,0.6423,0.0163,8.84,0.1373,0.0433,8.6604,9.7387,66.6712,56.318,675.3065,0.2775,77.98438
33,2936.51,9.9457,12.4059,-5977.25,8.5851,-0.9363999999999988,20.9364,-0.02879999999999999,-0.0158,682.5904,15.79,-2.222,0.7822,0.013700000000000002,4.38,0.0877,0.059,7.3995,8.7863,51.733399999999996,22.4105,396.9332,0.2056,59.5644
34,3021.83,10.6553,12.4349,-5466.75,8.572,5.206400000000001,14.793600000000001,0.0,-0.0102,744.1374,15.9,0.0,0.8536,0.023199999999999995,5.7,0.15800000000000006,0.0742,8.0433,9.4316,109.1323,18.8183,474.0554,0.2937,41.64748
35,3033.29,10.5538,12.4998,-6279.0,9.7836,1.2836000000000005,18.7164,0.025099999999999976,-0.012,702.0668,15.95,-0.5203999999999996,0.7232,0.0189,17.8532719249251,0.1317,0.0276,11.4268,13.0936,55.3285,14.2191,465.445,0.2836,60.49628
36,3230.1251316919993,9.9621,12.56,-5477.0,8.9132,1.002700000000001,18.9973,0.0636,-0.0139,768.3565,15.76,0.0,0.8252999999999999,0.0189,10.4,0.1034,0.0483,10.3712,9.8985,65.3446,28.1081,58.8634,0.3364,84.87973999999998
37,2951.06,9.8259,12.5967,-5371.5,9.0447,-2.6564000000000005,22.6564,-0.029399999999999985,-0.0083,811.2656,15.74,-0.5203999999999996,0.7154,0.0153,3.49,0.15980000000000003,0.0566,7.9876,8.1657,115.0351,18.1961,889.0625,0.35609999999999997,53.16232
38,2994.06,9.0234,12.2981,-5176.25,8.9191,-0.06359999999999949,20.0636,0.0,-0.010600000000000002,827.0727,15.830000000000002,-2.93,0.8145,0.0134,15.35,0.3387,0.0095,7.5094,8.1525,55.9769,46.5021,0.0,0.357,50.63156
39,2955.3,9.1855,12.4247,-5641.25,9.2405,3.9055000000000013,34.62861705988786,0.0,-0.0068,759.1618999999998,15.7,0.7568999999999998,0.786,0.0211,8.66,0.1051,0.05319999999999999,5.9099,7.8787,86.7402,29.586500000000004,239.9261,0.3143,61.63897999999999
40,2996.65,10.2747,12.649,-5193.25,8.7512,2.031799999999999,17.9682,-0.1331,-0.010100000000000001,791.9736,15.74,0.6622999999999996,0.8780999999999999,0.0073999999999999995,6.37,0.0827,0.0574,9.0252,12.3178,82.96910000000001,20.8576,0.0,0.24969999999999998,52.6841
41,2988.99,10.215,12.4231,-5369.0,8.9336,17.3873,22.6127,-0.1689,-0.0078000000000000005,735.4067,15.980000000000002,-0.04729999999999975,0.6287,0.0194,8.26,0.42921317865646114,0.049,5.7219999999999995,8.585,90.9661,30.435600000000004,815.894,0.238,216.9552
42,3054.52,10.001,12.6122,-5770.75,8.8909,-0.15450000000000066,20.1545,-0.04350000000000001,-0.0164,787.916,15.82,0.04729999999999975,0.8343,0.0087,6.33,0.1299,0.0933,4.7959,8.9376,89.7356,28.453500000000002,0.0,0.1874,55.346219999999995
43,3221.21,10.115,12.551,-5658.25,8.7635,-0.3309000000000004,20.3309,-0.03600000000000002,-0.0118,714.6349,15.8,-1.797,0.5662,0.0163,4.78,0.1248,0.0533,7.190200000000001,8.0577,57.9488,45.2399,689.9152,0.2679,33.260040000000004
44,2977.43,11.0543,12.4616,-5282.75,9.1855,-5.7181999999999995,25.7182,-0.009399999999999988,-0.0135,740.1717999999998,15.870000000000001,-0.23650000000000015,0.8116999999999999,0.019,9.82,0.1301,0.037399999999999996,10.0673,8.9853,129.5748,33.5223,345.7627,0.2709,66.81138
45,3017.87,9.703,12.5018,-5936.000000000001,9.0121,3.650000000000001,16.35,-0.03020000000000001,-0.009999999999999998,745.5714,15.97,0.0,0.7987,0.008,9.02,0.1319,0.0316,10.6621,10.256,62.195899999999995,30.783900000000003,281.5166,0.1374,43.75602
46,2950.4539999999997,10.4161,12.5088,-5657.75,9.094,25.512700000000002,14.4873,0.092,-0.004400000000000001,719.0445000000001,15.7,-0.14189999999999994,0.6925,0.028699999999999996,7.74,0.1348,0.0381,4.6159,6.047899999999999,55.1427,53.855,94.7967,0.2937,44.122
47,3230.1251316919993,10.384,12.4661,-5226.5,8.536,-5.6473,25.6473,0.050600000000000006,-0.011900000000000003,839.7342,15.79,0.23650000000000015,0.6755,0.0092,9.04,0.2493,0.0172,5.725999999999999,8.5708,48.2409,45.946,568.5061,0.3695,136.16311907845824
48,3182.87,9.4151,12.6122,-5603.75,8.8097,1.8609000000000009,18.1391,0.11620000000000001,-0.0092,759.6441,15.78,1.4190000000000003,0.821,0.0068,3.85,0.2412,0.045599999999999995,9.7272,8.8196,66.0575,14.495,0.0,0.4359,109.06282000000002
