,feature_1,feature_2,feature_3,feature_4,feature_5,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_15,feature_16,feature_17,feature_18,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_29,feature_30,feature_33,feature_34,feature_35,feature_36,feature_38,feature_39,feature_40,feature_41,feature_42,feature_44,feature_45,feature_46,feature_48,feature_49,feature_54,feature_56,feature_58,feature_59,feature_60,feature_62,feature_64,feature_65,feature_68,feature_69,feature_72,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_100,feature_101,feature_103,feature_104,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_127,feature_129,feature_130,feature_132,feature_133,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_143,feature_144,feature_145,feature_146,feature_147,feature_149,feature_151,feature_152,feature_153,feature_156,feature_157,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_171,feature_172,feature_173,feature_174,feature_176,feature_177,feature_178,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_189,feature_196,feature_197,feature_198,feature_199,feature_200,feature_201,feature_205,feature_206,feature_209,feature_211,feature_212,feature_213,feature_214,feature_215,feature_216,feature_217,feature_218,feature_219,feature_220,feature_222,feature_224,feature_225,feature_226,feature_228,feature_229,feature_239,feature_240,feature_245,feature_246,feature_247,feature_248,feature_249,feature_253,feature_254,feature_256,feature_268,feature_269,feature_270,feature_346,feature_347,feature_368,feature_369,feature_419,feature_420,feature_424,feature_433,feature_434,feature_461,feature_469,feature_483,feature_484,feature_485,feature_486,feature_487,feature_488,feature_489,feature_490,feature_500,feature_501,feature_511,feature_512,feature_543,feature_544,feature_545,feature_547,feature_548,feature_549,feature_551,feature_552,feature_559,feature_560,feature_563,feature_564,feature_565,feature_566,feature_571,feature_572,feature_573,feature_574,feature_579,feature_580,feature_582,feature_583,feature_584,feature_587,feature_590
0,3079.77,2354.51,2207.0444,1269.6078,1.7571000000000003,97.0189,0.1221,1.4607,0.015500000000000003,0.009299999999999998,0.9577000000000001,198.5381,6.8827,408.2091,9.859,0.9663,12.3686,1.425,-4750.75,2713.25,-3669.6667,499.24999999999983,1.2825,66.4,3.0556,85.5573,8.6915,50.465,64.1145,66.1976,86.8147,118.8908,79.48,2.2129999999999996,364.9891,9.8111,140.7127,0.8532,135.5491,4.645,2854.0,0.945,4.4784,0.6990999999999986,10.366,5.955300000000001,19.3009,1.3103,152.9882,90.6173,475.1652601212401,0.0,-0.009500000000000003,-0.0297,-0.013800000000000003,-0.1113,0.011300000000000001,0.010599999999999997,-0.016100000000000003,-0.0439,7.2406,0.1333,2.3793,0.9888,1777.7633,0.161,9131.0599,-0.1835,-0.0017999999999999995,0.0011999999999999995,0.00020000000000000004,0.0,0.03909999999999999,0.0005000000000000001,0.08109999999999999,-0.0095,0.056599999999999984,-0.013699999999999988,0.98104,100.62288000000001,232.13534,0.4611,0.9305,0.0,785.5426,0.9916,59.2662,0.6067,0.9793,6.3654,15.76,2.932,2.813,3.3580000000000005,0.0,0.9956,2.3766,39.8168,134.0,95.7,70.8,54.5,449.78,0.1339,8.71,0.0042,0.0898,0.0732,0.0346,6.7977,5.627,14.104,0.2848,0.36,0.0788,1454.0,323.00000000000006,641.0,652.0,0.128,0.128,0.31,2.0,0.6,0.075,0.8247,0.106,0.3306,0.6741,0.7185,0.3475,0.169,16.29,0.727,12.719999999999999,36.715,0.0998,10.94,18.26,0.24,10.46,19.8,0.345,9.71,14.68,0.24479999999999996,9.22,102.938,0.0772,0.11206965068173358,0.0504,0.0575,0.0741,0.0434,0.076,0.056799999999999996,4.07,0.003,0.0771,181.1365,0.0284,1446.9004,0.0357,0.014900000000000002,0.0081,0.0039,0.0011599999999999998,1.2190600000000003,3.8832000000000004,0.015199999999999998,0.05498121138934162,3.763,0.0351,0.5801,0.0828,7.022,2.5755,12.013607459531167,8.35263806642994,0.0073,0.002,471.4976,370.301,81.7554,17.4675,130.5959,14.755400000000002,0.0,814.7757,503.1171,365.2174,51.6506,654.6659,407.5117,472.0497,129.385,0.0,0.0,84.9279,742.8571,0.10960000000000002,0.0078,0.0026,1.10966,405.53439999999995,77.59,14.194,1.2840000000000003,1.1378607660601032,0.7051,267.07,0.8014999999999999,7.96,0.1718,521.3115290903471,2.6271,46.86301955418931,0.6456000000000001,0.0282,0.0194,68.7444,0.5001,0.011,0.028199999999999996,68.7444
1,3001.36,2491.23,2155.3111,918.2161,1.2753,105.0478,0.1227,1.4206,-0.005199999999999999,0.0010000000000000026,0.9649,203.8512,12.7017,420.3021,10.671,0.9808,12.4959,1.4068,-5410.75,2909.5,-3768.5000000000005,-906.7499999999997,1.2525,75.8111,1.9778,83.6264,8.3006,50.3196,64.2059,65.9546,86.68959999999998,119.8088,81.55,3.147,348.5055,10.2142,139.5655,0.9921999999999999,140.9136,4.553,2866.0,0.9556,4.5275,-1.4173000000000004,10.538,9.699,21.4173,1.0728,151.6045,109.5533,467.40768,0.0,-0.0027999999999999995,-0.0412,-0.0326,-0.0281,0.023299999999999998,0.0146,-0.0196,0.017500000000000005,6.5941,0.1335,2.4398,0.9880999999999999,1820.2068,0.1974,8795.69,0.016699999999999996,-0.0005000000000000002,-0.0002000000000000005,9.999999999999996e-05,0.0,-0.02880000000000001,-0.0002999999999999999,-0.0346,-0.0163,0.05670000000000003,0.03989999999999998,0.9809599999999999,100.78657999999999,232.20600000000002,0.46148,0.9405,0.0,672.3211,0.991,58.7063,0.5931,0.9649,6.4203,15.76,3.703,2.99,3.359,0.2837999999999999,1.0,2.3805,36.6141,140.0,74.7,50.1,68.8,325.699,0.1527,4.9,0.0059,0.1077,0.05859999999999999,0.0642,9.697,9.135,6.746,0.308,0.26,0.0526,1367.0,967.0,209.0,2405.0,0.157,0.104,0.113,2.3,1.9,0.146,0.7047,0.1135,0.3051,0.5407,0.8264,0.2602,0.315,20.54,0.434,18.03,21.754000000000005,0.0643,7.05,16.231,0.32600000000000007,16.77,26.42,0.344,29.851639392943724,15.61,0.1402,7.3100000000000005,114.391,0.09089999999999998,0.0714,0.0268,0.0582,0.0734,0.0706,0.0844,0.0667,3.0658,0.0022,0.0306,91.2612,0.0414,625.9004,0.0155,0.0248,0.0041,0.0073999999999999995,0.00184,2.0685637143506397,3.44304,0.03414,0.0089,1.76,0.030699999999999998,0.4782,0.102,17.823999999999998,4.7882,6.77062,3.1308800000000003,0.0034,0.0061,0.0,0.0,71.91940000000001,5.546,265.233,12.157,0.0,0.0,173.5115,82.1456,207.11740000000003,314.7682,484.3911,430.0637,382.235,0.0,0.0,25.2308,0.0,0.1107,0.0065,0.002,0.6073,398.1,80.404,18.27,1.48,0.9515,0.1931,250.08400000000003,0.6708,6.49,0.1023,532.5973,2.3271,9.02,0.1828,0.032740000000000005,0.012839999999999999,44.5901,0.4943,0.0199,0.0169,163.9998
2,3042.78,2377.89,2173.4556,1433.6732,1.0304,110.5422,0.1245,1.4964,0.02040000000000001,0.013300000000000003,0.9486,197.4142,6.4832,407.2145,9.8446,0.959,12.5553,1.4098,-6456.75,2909.75,-3360.0000000000005,1269.9999999999995,0.9890000000000001,71.3111,2.5889,84.8892,8.7418,50.2052,63.9238,66.3572,86.57589999999999,118.7802,78.11,2.508,354.8109,10.1611,135.52,1.4023,146.8264,4.586,2859.0,0.9512,4.5068,10.235500000000002,10.1472,13.0423,9.7645,0.9617,142.8836,109.2538,465.7885,0.0,0.0048999999999999955,0.029000000000000015,-0.0053,-0.066,-0.021699999999999997,0.06140000000000001,-0.0238,-0.0029999999999999975,7.6467,0.126,2.4373,0.9903,1817.5571,0.1664,8615.15,-0.031599999999999996,0.00029999999999999976,0.0024000000000000007,0.0,0.0,-0.0791,-0.0001,-0.0563,-0.0108,-0.02150000000000001,0.004099999999999996,0.97842,101.3227,231.71348,0.4637,0.9318,0.0,751.7695,0.9664,55.8504,0.6035,0.9712,6.51,15.65,4.375000000000001,2.918,3.276,-0.2837999999999999,0.9972,2.3244,38.4572,136.0,125.60000000000001,127.3,52.5,143.6,0.1972,4.15,0.0029,0.0792,0.067,0.0463,2.5575,3.763,18.322,0.21320000000000003,0.2,0.0596,186.0,636.0,1177.0,76.0,0.127,0.078,0.096,2.4,0.9,0.11799999999999998,0.7804,0.0723,0.2949,0.5351,0.6215,0.2064,0.939,15.43,0.199,11.17,36.459,0.15020000000000003,4.52,41.986,0.277,5.18,27.08,0.9100000000000001,7.880000000000001,18.36,0.1411,8.8,59.736,0.0672,0.0608,0.0277,0.0597,0.0585,0.0352,0.0925,0.0368,3.9313999999999996,0.0007,0.0384,117.48289999999999,0.0496,386.2998,0.0129,0.0106,0.005,0.0034,0.002848616836312285,0.9433999999999999,3.0490199999999996,0.0345,0.0057,3.242,0.0448,0.2937,0.0461,39.127,3.8147,5.6968,2.6399,0.0026,0.0019,328.1298,347.3043,58.0425,35.0298,5.9843,21.1169,50.6084,0.0,209.4746,525.1185,90.4545,269.6629,57.3057,389.4737,0.0,0.0,445.1444,46.2963,320.0,0.10960000000000002,0.0078,0.0026,1.9093000000000002,407.79,80.418,19.79,2.474324448940751,0.963,0.1474,264.272,0.5671,4.98,0.0877,535.3327,2.0886,9.37,0.3066,0.02266,0.01462,81.03254,0.4962,0.011400000000000002,0.0208,138.2861
3,3018.64,2401.8,2224.0,1510.0797,1.5611,99.83,0.11989999999999999,1.4428,-0.010999999999999998,0.010099999999999996,0.9501,199.192,9.831600000000002,414.4535,10.5954,0.969,12.4469,1.3883,-5775.0,3019.5,-4471.25,-7417.0,1.2833000000000003,70.0556,1.5778,87.4809,8.6829,51.15343881044886,65.03899903921808,66.5518,86.9236,121.39343753386405,16.53,4.97,350.4355,10.0521,129.1945,1.0627,139.8418,4.599,2811.0,0.9532000000000002,4.6726,9.851799999999999,10.8864,20.3227,30.1482,0.9971,153.5209,112.01729999999999,466.1897,0.0,-0.010999999999999998,-0.047599999999999996,-0.0497,-0.0595,0.0324,-0.0885,-0.015899999999999994,0.042300000000000004,7.2974,0.12964,2.3663,0.9865999999999999,1810.3829,0.2039,8363.73,0.010500000000000018,0.0030000000000000005,0.004499999999999999,0.0,0.00020000000000000004,-0.024200000000000006,0.0002999999999999999,-0.04590000000000001,-0.0038000000000000004,-0.031200000000000002,-0.0826,0.98154,101.73846,231.08244000000002,0.45270000000000005,0.9377,0.0,705.2765,0.9905,58.283100000000005,0.5951,0.9707,6.209100000000001,15.73,2.88,2.749,3.2519999999999993,0.04729999999999975,0.9946,2.3725,38.8714,126.0,210.1,96.2,55.6001,235.875,0.5065,4.21,0.0044,0.1397,0.0718,0.0652,6.3174,8.714,10.175,0.6531,0.48999999999999994,0.06090000000000001,1048.0,1314.4713188521737,1976.9999999999998,5726.0,0.135,0.147,0.306,2.9000000000000004,1.2,0.221,0.6262,0.0562,0.2161,0.3712,0.7079,0.2786,0.565,20.21,0.589,10.99,32.134,0.1681,12.960000000000003,19.467,0.31,6.25,18.64,0.19500000000000003,8.71,18.57,0.1385,7.7700000000000005,66.548,0.1051,0.0581,0.0898,0.0808,0.0851,0.0951,0.07939999999999998,0.0946,4.029,0.0031105684904019636,0.0729,100.65449999999998,0.059,640.2002,0.0163,0.014700000000000001,0.0043,0.0064,0.0014399999999999999,1.113,4.25196,0.21510965485016342,0.038,2.5391,0.0254,0.4912,0.0845,14.706,1.6475,5.94114,2.896,0.0035,0.0046,651.2472,645.1453,88.6322,44.2158,77.201,41.77479999999999,63.4401,951.6695,121.9307,180.5933,135.7983,262.7557,107.488,498.5871,223.9053,543.3333,325.3112,114.28570000000002,0.0,0.10960000000000002,0.0078,0.0026,0.9041,407.088,81.212,22.13,1.4500000000000002,0.9347,0.1475,268.6908,0.63674,5.708,0.15906,529.5727,2.3873,10.37,0.2887,0.0284,0.0141,49.749,0.5047,0.0101,0.0284,49.749
4,3020.29,2433.99,2217.8111,1744.7771,0.9617999999999999,100.17890000000001,0.12179999999999999,1.495,-0.009699999999999999,-0.0054,0.9679000000000001,201.6603,9.8304,426.9548,9.4946,0.9728000000000001,12.4618,1.3852,-6900.500000000001,3063.25,-2439.2500000000005,1562.249999999999,0.9725,67.0222,2.4889,86.0936,8.5891,50.4484,64.1358,66.0981,86.7366,119.1796,78.4,2.915,355.0545,10.0575,135.0527,0.9370000000000002,137.5482,4.617,2843.0,0.9484,4.5141,1.033600000000001,10.4132,9.9475,18.9664,0.8924,147.8064,74.0842,465.51828,0.0,0.002099999999999996,-0.0736,0.0215,-0.0272,0.011300000000000001,-0.096,-0.027099999999999996,0.021700000000000007,6.258499999999999,0.1378,2.3783,0.9685,1823.8228,0.2051,8510.42,-0.028699999999999996,0.0004,-0.0048,-0.00010000000000000002,9.999999999999998e-05,-0.007399999999999992,-0.0006,0.011200000000000002,-0.0119,-0.038900000000000004,0.010600000000000026,0.9794200000000001,101.67282,232.72047999999998,0.45928,0.9374,0.0,719.8049,0.9911,58.0262,0.5912,0.9675,6.2503,15.9,3.383,2.776,3.392,0.4258000000000001,0.9970999999999999,2.3401,37.1562,149.0,87.2,101.4,54.39990000000001,225.17490000000004,0.2358,4.3,0.0042,0.12139999999999998,0.0402,0.049,5.7687,6.943,9.399,0.3602,0.6600000000000001,0.1280721362045154,1952.0,642.0,4126.0,128.0,0.108,0.083,0.079,3.0999999999999996,0.9,0.11,0.969,0.0613,0.4582,0.6485,0.6511,0.1948,0.196,24.14,0.8739999999999999,10.690000000000001,33.182,0.1415,12.6,27.709,0.271,4.47,19.72,0.367,11.76,17.25,0.1723,11.06,80.09,0.0858,0.0447,0.0976,0.0613,0.0828,0.0981,0.057999999999999996,0.0661,7.289991781182231,0.0019000000000000002,0.0389,58.38649999999999,0.1565,652.9004,0.013599999999999998,0.013,0.0043,0.0042,0.00206,1.25808,3.05128,0.017400000000000002,0.026,2.0761,0.0186,0.4605,0.0362,19.256,3.8497000000000003,6.02912,3.62582,0.003,0.0045,414.1661,902.1864,70.6281,169.1504,8.1933,23.1457,432.4538,0.0,60.7131,453.4262,225.16070000000002,735.5913,102.1609,213.8249,303.908,0.0,270.4811,36.2869,0.0,0.10960000000000002,0.0078,0.0026,1.4002999999999999,406.748,80.986,13.46,1.32,0.9772,0.0926,254.3632,0.66954,7.526,0.1163,534.8336,2.1127,6.38,0.2772,0.01318,0.0133,124.58525387670089,0.501,0.0147,0.0165,68.9871
5,2964.69,2474.97,2212.3,1807.5841,0.9815999999999999,92.37,0.1212,1.4424,-0.0242,0.005000000000000001,0.9776,198.9222,7.734400000000001,405.8248,9.7899,0.9789,12.5492,1.4118,-5546.0,2687.75,-4961.75,-68.49999999999949,1.2757,70.4,2.3778,84.96049999999998,9.0744,50.8538,64.2376,66.2771,85.9594,119.45139999999999,80.69,2.308,368.24,10.0701,127.6291,0.9885,135.5109,4.627,2877.0,0.954,4.5537,3.680900000000001,10.7581,7.534,16.3191,1.4663,149.7127,158.4831,467.2697,0.0,-0.0247,-0.0357,-0.039799999999999995,-0.0013000000000000008,-0.017899999999999996,0.01200000000000001,-0.0622,0.02089999999999999,8.2082,0.1263,2.4004,0.9908,1799.0774,0.1939,8365.7701,0.03519999999999999,-0.0005999999999999995,-0.0029000000000000002,9.999999999999996e-05,9.999999999999998e-05,0.04840000000000001,0.00010000000000000011,-0.0053999999999999986,-0.0115,0.0763,0.042199999999999974,0.9814800000000001,100.93487999999999,231.25462,0.46256,0.9704,0.0,711.4945,0.989,60.9507,0.6029,0.9782,6.225,15.82,2.84,3.064,3.423,1.6550000000000002,0.9974,2.2797,37.2572,126.0,186.6,176.4,55.8999,679.767,0.0893,8.77,0.0043,0.1105,0.0717,0.0502,12.4371,4.426,21.512,0.8524,0.8756984977469091,0.0566,309.0,403.00000000000006,7789.999999999999,702.0,0.056,0.124,0.373,2.6,1.4,0.21300000000000002,0.4063,0.1045,0.36779999999999996,0.7631,0.8259,0.4319,0.261,20.229999999999997,0.956,18.1,15.675,0.1188,6.499999999999999,23.772,0.114,11.05,23.409999999999997,0.4079999999999999,7.05,7.330000000000001,0.1967,6.26,63.678,0.0656,0.0642,0.0447,0.065,0.0711,0.0959,0.036800000000000006,0.1581,3.4890000000000003,0.003,0.0343,96.8884,0.0692,1710.1001,0.0161,0.0122,0.0038,0.0034,0.0014199999999999998,1.27318,3.45512,0.01968,0.0067,2.7488,0.0529,0.4711,0.1336,19.377,2.6311,2.687,3.9157,0.004,0.0026,295.7463,0.0,57.2251,157.0011,0.0,37.36379999999999,300.1976,265.7215,179.5804,112.1706,0.0,397.3454,797.5052,59.1402,757.3653,0.0,421.5983,32.9718,523.0769,0.11170000000000001,0.0079,0.0024,0.8273,400.814,73.254,14.53,1.33,0.9478,0.0699,264.272,0.5671,4.98,0.0877,532.1073,1.8125999999999998,7.83,0.2619,0.021359999999999997,0.014859999999999998,78.09549999999999,0.5003,0.0153,0.0346,72.6469
6,2940.74,2596.71,2200.2,1121.1874999999998,1.3171,103.8978,0.1191,1.3836,0.013500000000000005,0.0013000000000000012,0.9518,203.4228,8.5389,408.2683,9.9299,0.9716,12.4124,1.3940999999999997,-5408.75,2785.0,-4599.75,104.99999999999909,1.2945,73.9778,2.4556000000000004,85.2917,8.9132,50.1638,63.7658,66.2465,86.81,118.56200000000001,80.33,2.544,346.8955,10.0685,133.0455,1.3074,141.4991,4.555,2842.0,0.9447,4.6326,2.8108999999999997,10.4126,10.9182,17.1891,0.8065,148.3,96.2319,466.61969999999997,0.0,-0.013500000000000002,-0.0426,-0.035500000000000004,0.08110000000000003,-0.0236,-0.015399999999999997,-0.024100000000000003,0.024299999999999995,7.4393,0.1301,2.3367,0.9918,1767.0592,0.1817,9047.8399,-0.02309999999999999,0.002,-0.0081,9.999999999999996e-05,0.0,0.03160000000000001,0.0005000000000000001,-0.012199999999999992,-0.0093,-0.059300000000000005,-0.2424,0.9794,101.9446,231.1908,0.46722,0.9667,0.0,777.1425,0.9911,58.90760000000001,0.5946,0.9611999999999999,6.2909999999999995,15.76,3.082,2.789,3.017,0.0,0.9979,2.2864,41.2989,106.0,209.4,177.0,67.6001,290.96,0.0897,6.32,0.0055,0.0517,0.0621,0.0523,8.7419,5.989,6.875,0.368,0.42000000000000004,0.0322,1124.0,204.0,3133.0,1577.0,0.14900000000000002,0.077,0.135,5.1,1.7,0.099,0.5595,0.1067,0.3052,0.37070000000000003,1.0444,0.1322,0.285,18.31,0.348,9.3,25.873,0.1081,4.39,59.03499999999999,0.30500000000000005,4.52,22.23,0.307,7.73,18.11,0.1096,8.8,43.861,0.09190000000000001,0.0581,0.0378,0.0254,0.0806,0.0413,0.08840000000000002,0.0545,4.1593,0.0017,0.0341,62.868500000000004,0.0341,1129.5996,0.0317,0.0307,0.0055,0.0053,0.0023,0.9888,3.2714,0.03056,0.0044,1.5500999999999998,0.0213,0.1975,0.06090000000000001,19.331,4.1716,5.2469,2.9295600000000004,0.0073,0.003,459.362,0.0,70.1378,68.1124,0.0,31.3174,160.8021,679.7966,136.385,106.55390000000001,31.329,341.8876,268.1818,367.1859,224.2798,0.0,376.9762,58.9023,0.0,0.1169,0.0094,0.0027,0.9277,406.972,73.784,14.84,0.7800000000000001,0.9652,0.3472,264.272,0.5671,4.98,0.0877,532.4564,1.9432,11.65,0.2467,0.01952,0.01008,53.97060000000001,0.5053,0.0233,0.0189,31.0252
7,3043.08,2484.43,2209.8,1175.5507999999998,1.1464,112.13670000000002,0.1227,1.4639,-0.012300000000000002,-0.0173,0.9596,202.3047,7.9638,403.9927,9.8134,0.9676,12.5004,1.3844,-5095.0,2412.0,-4196.75,-193.99999999999918,1.3143,69.4222,2.8444,86.1383,8.3383,50.462500000000006,64.2525,65.965,86.9421,117.9702,78.38,3.4090000000000003,348.5173,10.004,142.4118,1.2674,139.2991,4.604,2828.0,0.9481,4.535,1.5036000000000012,10.0745,8.7662,18.4964,0.8626,147.7473,99.3058,465.0222,0.0,-0.012899999999999998,-0.0411,-0.0433,0.013200000000000016,-0.0336,0.004799999999999987,-0.025500000000000002,0.01880000000000001,6.7122,0.1344,2.3585,0.9925,1792.188,0.1811,8493.8199,-0.1509,-0.0034,0.0026999999999999997,-0.00010000000000000002,9.999999999999998e-05,-0.0279,-0.0004,0.0693,-0.0136,0.036100000000000014,-0.00020000000000001218,0.98176,101.28166,232.3029,0.45836,0.9412,0.0,741.9427,0.9896,58.282000000000004,0.5873,0.9627,6.410900000000001,15.65,3.2170000000000005,2.982,3.3260000000000005,2.4579999999999997,0.9972,2.3080999999999996,43.5596,88.0,190.2,116.1,50.5999,485.115,0.1587,5.950000000000001,0.004,0.0945,0.0911,0.0681,6.7027,4.008,12.251000000000001,0.5468,0.46,0.1096,774.0,248.0,1990.9999999999998,1601.0,0.193,0.02,0.239,2.2,0.7,0.062,0.8028,0.1398,0.414,0.6022,0.796,0.2253,0.4030000000000001,18.92,0.5099999999999999,5.590000000000001,25.268999999999995,0.0508,7.370000000000001,49.88,0.256,4.109999999999999,11.8,0.413,9.0,12.149999999999999,0.1346,5.24,86.298,0.072,0.0629,0.0336,0.0419,0.0408,0.0677,0.079,0.0449,5.8556,0.006752842452009817,0.0779,113.0447,0.0651,1545.8994,0.017299999999999996,0.0111,0.007000000000000001,0.0028,0.0017799999999999997,1.4891999999999999,3.4373600000000004,0.021980000000000003,0.0245,4.5255,0.0435,0.4348,0.1244,21.838,4.1132,5.383000000000001,1.5642,0.0021,0.0021,741.0269,393.0736,50.3276,47.441500000000005,825.2577,23.5649,273.3374,556.5217,153.0414,77.5087,316.8242,121.4964,0.0,309.8039,238.5126,504.1894,405.4795,51.3291,746.6667,0.1143,0.0087,0.0025,0.8273,400.814,73.254,14.53,1.33,1.004,0.1579,264.272,0.5671,4.98,0.0877,532.3427,2.0841,8.18,0.23920000000000002,0.02954,0.01386,50.40936,0.49440000000000006,0.0142,0.0184,80.1759
8,2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,0.1241,1.4436,0.004099999999999995,0.0013000000000000012,0.9615,202.0179,9.5157,416.70750000000004,9.3144,0.9674,12.5404,1.4123000000000003,-5447.75,2701.75,-4046.9999999999995,-1916.5000000000005,1.3122000000000003,67.1333,2.3333,84.7569,8.659,50.153,64.1114,65.8389,85.59707019224143,118.6128,14.37,5.434,364.3782,9.8783,131.8027,1.2992,141.0845,4.492199186443632,2932.9657101224266,0.9447,4.5873,23.8245,10.1685,11.3019,16.1755,0.8694,145.8,84.76810000000002,475.1652601212401,0.0,-0.007800000000000002,-0.0326,-0.005200000000000001,0.021299999999999986,-0.005400000000000004,-0.1134,-0.0182,0.0287,7.1041,0.1362,2.4532,0.988,1685.8514,0.1497,9317.1698,0.05530000000000001,0.0006000000000000005,-0.0012999999999999997,0.0,0.00020000000000000004,0.1218,0.0005999999999999998,0.013400000000000006,-0.0026000000000000007,-0.0301,-0.0728,0.98174,101.22165999999999,232.63576000000003,0.4684,0.9231,0.0,718.5777,0.9899,58.4808,0.6015,0.9772,6.4527,15.9,2.882,3.094,3.272,-0.1891999999999997,0.9978,2.2592,42.0579,89.0,126.4,96.5,45.1001,306.038,0.3263,8.33,0.0038,0.0754,0.0483,0.06189999999999999,8.266,4.819,8.443,0.4909,0.47,0.0497,562.0000000000001,788.0,759.0,2100.0,0.187,0.11699999999999999,0.068,2.1,1.4,0.123,1.0824,0.0369,0.3141,0.5753,0.9676999999999999,0.2706,0.326,17.78,0.745,13.309999999999999,22.912,0.1959,9.21,60.109999999999985,0.139,5.09,19.75,0.9489999999999998,9.71,16.73,0.1164,13.3,79.618,0.0339,0.0494,0.0696,0.0406,0.0401,0.08400000000000002,0.0349,0.0718,2.4266,0.0014,0.0963,182.4956,0.0284,839.6006,0.0192,0.017,0.006200000000000001,0.004,0.0014199999999999998,1.39388,3.45186,0.1729,0.027300000000000005,4.1446,0.0657760434997715,0.4166,0.0487,29.621,3.9133,12.013607459531167,8.35263806642994,0.003,0.0037,0.0,0.0,50.6425,18.7546,109.5747,32.3594,21.3645,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,0.0,0.0,132.90721458684297,244.2748,0.10960000000000002,0.0078,0.0026,0.7942,411.136,74.654,16.16,0.85,1.1378607660601032,0.3718,267.064,0.9032,1.1,0.36140699077756505,535.0245,2.0293,11.21,0.18819999999999998,0.05339205625920182,0.04091579835276628,82.8602,0.4958,0.0157,0.05484628329213505,82.86020000000002
9,3031.78,2528.55,2182.5555,1261.0898,1.211,112.2922,0.1252,1.3485,0.015100000000000002,0.0003000000000000017,0.9693,197.2941,9.8858,410.2755,10.2769,0.9752,12.5582,1.4259,-4958.0,2573.25,-4892.0,410.0000000000007,1.2684999999999997,72.4889,2.4777999999999993,83.3726,8.7512,50.2712,64.4292,66.1116,86.44600000000001,120.3942,79.55,2.5859999999999994,343.9136,10.1915,139.2936,0.9140000000000001,139.7864,4.513,2855.0,0.9471,4.5377,1.5744999999999993,10.3617,8.4647,18.4255,0.9591,150.1273,130.5133,465.10859999999997,0.0,0.002839999999999994,-0.004400000000000015,0.007499999999999998,-0.008519999999999988,-2.000000000000481e-05,0.0037399999999999873,-0.015959999999999988,0.013,7.223300000000001,0.1292,2.3551,0.9914,1845.2409,0.18658000000000002,8754.12008,-0.0383,0.0006000000000000005,0.0024000000000000007,-0.00010000000000000002,0.0,0.023300000000000015,0.0,0.036500000000000005,-0.0102,0.01670000000000002,0.046999999999999986,0.9835,100.5021,233.7235,0.45931999999999995,0.9392,0.0,826.7217000000002,0.9895,59.9764,0.5976799999999999,0.9602,6.5951,15.92,1.671,2.783,3.7719031493943245,-0.14189999999999994,1.0,2.2877,42.9394,93.00000000000001,64.7,56.599999999999994,57.60009999999999,376.173,0.6685,2.89,0.0067,0.2181,0.0814,0.044300000000000006,4.3099,9.008,6.662999999999999,0.1965,0.25,0.0325,423.00000000000006,374.0,3966.0,603.0,0.10200000000000001,0.20899999999999996,0.385,2.4999999999999996,1.1,0.109,0.44329999999999997,0.1044,0.263,0.4988,0.5958,0.2314,0.37300000000000005,21.43,0.623,14.26,28.84,0.0824,5.659999999999999,22.068,0.278,15.55,22.7,0.38,28.22,13.149999999999999,0.169,5.1,19.501,0.07100000000000001,0.04855999999999999,0.04136000000000001,0.06214,0.05954,0.10284000000000003,0.09691999999999999,0.06566,3.4599,0.0022,0.075,122.73339999999999,0.05586,1155.2600599999998,0.006400000000000001,0.0159,0.0047,0.0058,0.002,3.9239,4.1804,0.029400000000000003,0.0319,2.4154,0.0358,0.4422,0.112,24.5,4.5432,5.817759999999999,2.5681,0.0022,0.0029,538.4043,0.0,91.1204,81.0711,147.0732,15.4796,901.4518087408492,453.48374,276.2675,82.5336,117.9094,407.62508,242.41747999999998,273.04304,234.86274,0.0,657.3643,46.022,0.0,0.11170000000000001,0.0074,0.0022,1.3389,401.206,73.578,21.4,1.17,1.0227,0.3072,264.272,0.5671,4.98,0.0877,537.9264,2.1814,5.48,0.3891,0.0235,0.0275,117.0945,0.5025,0.0138,0.0235,117.0945
