,feature_1,feature_20,feature_22,feature_29,feature_34,feature_60,feature_92,feature_103,feature_104,feature_116,feature_118,feature_122,feature_130,feature_131,feature_153,feature_181,feature_184,feature_248,feature_283,feature_337,feature_342,feature_461,feature_489,feature_564,feature_588
0,3079.7700000000004,12.368599999999999,-4750.75,66.4,8.6915,0.6991000000000009,-0.1835,0.08110000000000002,-0.0095,785.5426,59.2662,15.76,0.0,0.8202999999999999,0.28479999999999994,16.29,36.715,0.0152,0.0058,10.0329,2.6546999999999996,14.755400000000002,472.0497,0.8015,0.0194
1,3001.36,12.4959,-5410.75,75.8111,8.3006,-1.4172999999999996,0.016700000000000027,-0.0346,-0.0163,672.3211,58.7063,15.76,0.2837999999999999,0.8291,0.308,20.54,21.753999999999998,0.02366,0.0045,9.77764,2.0989,12.157,430.0637,0.6708,0.0276
2,3042.78,12.5553,-6456.75,71.3111,8.7418,10.235499999999998,-0.03160000000000001,-0.056299999999999996,-0.0108,751.7695,55.8504,15.65,-0.2837999999999999,0.5438,0.21320000000000003,15.43,36.45900000000001,0.0345,0.006400000000000002,11.0695,2.5012,21.1169,389.4737,0.5671,0.0287
3,3018.64,12.4469,-5775.0,70.0556,8.6829,9.851799999999997,0.010499999999999982,-0.0459,-0.0037999999999999996,705.2765,58.283100000000005,15.729999999999999,0.04729999999999975,0.8048,0.6531,20.210000000000004,32.134,0.02806,0.008799999999999999,8.0615,2.4329,41.7748,498.5871,0.6929000000000001,0.014100000000000001
4,3020.29,12.4618,-6900.5,67.0222,8.5891,1.0336000000000012,-0.028700000000000014,0.011199999999999984,-0.0119,719.8049,58.0262,15.9,0.4258000000000001,0.7611000000000001,0.3602,24.14,33.182,0.0292,0.0035,10.0529,3.2653,23.145699999999998,213.8249,0.69618,0.0114
5,2964.69,12.549199999999999,-5546.0,70.4,9.0744,3.680899999999999,0.03519999999999999,-0.005399999999999993,-0.0115,711.4945,60.95069999999999,15.82,1.6550000000000002,0.8136999999999999,0.8524,20.23,15.675,0.01918,0.0025,7.910100000000001,2.2442,37.3638,59.1402,0.5671,0.0251
6,2940.74,12.412399999999998,-5408.750000000001,73.9778,8.9132,2.8109,-0.023099999999999992,-0.012199999999999994,-0.0093,777.1425,58.9076,15.76,0.0,0.8253,0.368,18.31,25.873,0.029480000000000006,0.008299999999999998,9.565,2.5551000000000004,31.317399999999996,367.1859,0.5671,0.0059
7,3043.08,12.5004,-5095.0,69.4222,8.3383,1.5035999999999994,-0.1509,0.06930000000000001,-0.0136,741.9427,58.282000000000004,15.65,2.4579999999999997,0.8346,0.5468000000000002,18.92,25.269,0.021660000000000002,0.006000000000000001,7.560699999999999,2.0186,23.564899999999998,309.8039,0.5671,0.014800000000000002
8,2932.61,12.5404,-5447.75,67.1333,8.659,1.6894600000000017,0.0553,0.013399999999999985,-0.0026,718.5777,58.4808,15.9,-0.1891999999999997,0.8194000000000001,0.4909,17.78,22.912,0.03406,0.007499999999999998,8.9855,3.7662999999999998,32.3594,191.7582,0.9032,0.01792
9,3031.78,12.5582,-4958.0,72.4889,8.7512,1.5745000000000002,-0.038300000000000015,0.03649999999999999,-0.0102,826.7217,59.976400000000005,15.92,-0.14189999999999994,0.8712,0.1965,21.43,28.84,0.028739999999999998,0.0044,11.8301,1.6033,15.4796,183.6967,0.5671,0.0275
10,3028.08,12.5967,-5345.25,68.4333,9.534,2.928200000000001,0.019299999999999987,-0.03740000000000001,-0.0086,681.0371,55.9011,15.95,0.5203999999999996,0.6778,0.7795,18.17,22.517,0.020960000000000003,0.0045,8.5805,2.4674,13.0192,39.4165,0.6454,0.01
11,3003.82,12.4998,-5192.5,67.5,8.5288,5.499099999999999,-0.030100000000000005,-0.016599999999999993,-0.0105,729.4385,56.4388,15.94,-0.5677000000000001,0.6786,0.4309,21.87,37.58899999999999,0.0217,0.007199999999999997,11.094,2.3933,27.419400000000003,710.495,0.7538,0.0226
12,2990.57,12.537300000000002,-6623.75,70.5667,8.1605,-2.502700000000001,-0.1331,0.009900000000000003,-0.0094,801.3997,56.3776,15.699999999999998,0.0,0.7048,0.3554,24.36,17.065,0.03384,0.008299999999999998,10.1164,3.1730999999999994,33.2053,718.0915,0.8863,0.0121
13,2986.5,12.4849,-5416.0,68.7333,8.8043,0.3400000000000002,-0.02720000000000001,-0.0323,-0.013,722.202,59.0911,15.96,-0.9461000000000002,0.7527,0.3693,17.13,20.74,0.0153,0.003200000000000001,11.13,3.2261,30.5482,670.6294,0.8809,0.0277
14,3035.48,12.5914,-5187.25,68.0889,8.7556,4.169100000000001,0.04250000000000002,-0.0867,-0.0121,725.1428,59.6793,15.82,-0.4258000000000001,0.6888,0.2456,24.51,17.839,0.019940000000000003,0.0026,10.0258,3.0012999999999996,24.0618,675.4098,0.5842,0.0121
15,2913.4,12.5488,-5153.750000000001,75.5556,8.5571,-3.7400000000000007,0.03299999999999998,-0.04000000000000001,-0.0098,762.0218,56.77839999999999,15.750000000000002,-3.4960000000000004,0.5638,0.41580000000000006,24.43,26.645000000000003,0.029160000000000005,0.0054,10.0281,1.547,55.391,204.5421,0.6099,0.012700000000000001
16,3018.8,12.45294,-5334.749999999999,69.5222,9.131,1.9385400000000002,0.0,0.0,-0.0108,735.5572,59.0958,15.8,0.0,0.7865,0.23080000000000003,16.77,28.223,0.02964,0.0032999999999999995,8.16974,2.6674999999999995,44.9213,97.1212,0.7777,0.013500000000000002
17,2942.41,12.6278,-5410.500000000001,69.0111,8.5687,1.9482,0.01599999999999999,0.005199999999999995,-0.0072,749.6408,57.4901,15.77,0.0,0.8217,0.8118,16.87,34.794,0.0167,0.008799999999999999,10.2062,3.8317999999999994,20.7031,482.2633,0.7139,0.0355
18,2848.46,12.4716,-5233.75,66.0111,8.7187,8.145499999999997,0.06359999999999999,-0.026499999999999996,-0.0114,798.0013,59.296780000000005,16.02,-0.7568999999999998,0.7403,0.249,19.79,29.865,0.029279999999999997,0.002,12.8157,1.5118,25.4407,897.6526,0.5671,0.0159
19,3010.26,12.4049,-5921.4,72.8778,8.441,4.9555,-0.08229999999999998,0.03700000000000001,-0.0097,691.3175,58.74580000000001,15.59,-0.14189999999999994,0.6847,0.3,17.67,21.059,0.0354,0.009399999999999999,8.8046,4.030899999999998,14.845299999999998,710.3203,0.967,0.0227
