,feature_60,feature_478,feature_133,feature_349,feature_65,feature_206,feature_342,feature_435,feature_66,feature_299,feature_124,feature_461,feature_283,feature_442,feature_164,feature_34,feature_332,feature_22,feature_185
0,0.6991000000000014,6.0266,2.3766,0.0237,19.3009,9.22,2.6547,9.9805,23.2216,0.0595,15.83,14.7554,0.0058,0.9639,0.128,8.6915,0.0791,-4750.75,0.09979999999999999
1,-1.4173000000000007,4.8218,2.3805,0.0272,21.4173,7.31,2.0989,12.5349,27.2716,0.0662,15.750000000000002,12.157,0.0045,0.8427,0.157,8.3006,0.1071,-5410.75,0.0643
2,10.235500000000002,6.1589,2.3244,0.0163,9.7645,8.8,2.5012,12.8413,14.7061,0.0519,15.69,21.1169,0.0064,0.9192999999999999,0.127,8.7418,0.0852,-6456.75,0.1502
3,9.851800000000003,5.0612,2.3725,0.03,30.1482,7.77,2.4329,10.5202,36.0791,0.0635,15.81,41.77479999999999,0.0088,0.7158,0.135,8.6829,0.0985,-5775.0,0.1681
4,1.0335999999999996,7.4828,2.3401,0.0243,18.9664,11.06,3.2653,11.1054,24.3057,0.0505,15.94,23.1457,0.0035,1.1255,0.108,8.5891,0.0817,-6900.5,0.1415
5,3.680900000000001,4.1813,2.2797,0.0205,16.3191,6.260000000000001,2.2442,4.3896,19.1189,0.0242,15.86,37.3638,0.0025,0.4782,0.056,9.0744,0.0318,-5546.0,0.11879999999999999
6,2.8109,5.9339,2.2864,0.0245,17.1891,8.8,2.5551,11.5102,22.2064,0.0655,15.79,31.3174,0.0083,0.656,0.149,8.9132,0.0752,-5408.75,0.10809999999999999
7,1.5036000000000016,3.5466,2.3080999999999996,0.0174,18.4964,5.24,2.0186,14.6852,25.309900000000003,0.0867,15.69,23.5649,0.006,0.9319999999999999,0.193,8.3383,0.0863,-5095.0,0.0508
8,23.8245,9.1221,2.2592,0.0105,16.1755,13.3,3.7663000000000006,14.2503,24.2829,0.08,15.94,32.3594,0.0075,1.2771,0.187,8.659,0.0243,-5447.75,0.1959
9,1.5744999999999982,3.3971,2.2877,0.02004,18.4255,5.099999999999999,1.6033,8.041,21.0974,0.0449,15.91,15.479600000000001,0.0044,0.5317,0.102,8.7512,0.0975,-4958.0,0.0824
10,2.9282000000000004,4.735299999999999,2.212,0.0339,17.0718,6.99,2.4674,18.972,23.905,0.1099,15.980000000000002,13.0192,0.0045,0.565,0.251,9.534,0.0824,-5345.25,0.1443
11,5.499100000000001,5.2686,2.2773,0.0172,14.500899999999998,7.319999999999999,2.3933,19.7531,17.5983,0.1141,15.97,27.4194,0.0072,0.9361,0.24800000000000003,8.5288,0.0807,-5192.5,0.0919
12,-2.5026999999999995,6.8676,2.2959,0.0198,22.5027,9.69,3.1731,5.9121999999999995,32.7483,0.026599999999999995,15.73,33.2053,0.0083,0.9174999999999999,0.064,8.1605,0.0368,-6623.75,0.169
13,0.3399999999999987,7.0359,2.3322999999999996,0.0116,19.66,10.32,3.2261,8.9372,22.3647,0.0486,15.980000000000002,30.548200000000005,0.0032,0.7316,0.115,8.8043,0.0929,-5416.0,0.09379999999999998
14,4.169100000000004,6.8146,2.2673999999999994,0.0225,15.8309,10.11,3.0013,10.0583,22.3694,0.0607,15.84,24.0618,0.0026,0.8531999999999998,0.138,8.7556,0.0311,-5187.25,0.1579
