,feature_148,feature_206,feature_342,feature_461,feature_133,feature_299,feature_34,feature_60,feature_349,feature_442,feature_22,feature_118,feature_478,feature_65,feature_435,feature_66,feature_124,feature_164,feature_332
0,0.017300000000000003,9.22,2.6547,14.7554,2.3766,0.0595,8.6915,0.6991000000000006,0.023699999999999995,0.9639,-4750.75,59.266200000000005,6.0266,19.3009,9.9805,23.2216,15.83,0.128,0.07909999999999999
1,0.014,7.31,2.0989,12.157,2.3805,0.0662,8.3006,-1.4173,0.0272,0.8427,-5410.75,58.7063,4.821799999999999,21.4173,12.5349,27.2716,15.749999999999998,0.157,0.1071
2,0.0189,8.8,2.5012,21.1169,2.3244,0.0519,8.7418,10.235500000000004,0.0163,0.9192999999999999,-6456.75,55.8504,6.1589,9.7645,12.8413,14.7061,15.69,0.127,0.0852
3,0.0267,7.77,2.4328999999999996,41.7748,2.3725,0.0635,8.6829,9.851800000000003,0.03,0.7158,-5775.0,58.283100000000005,5.0611999999999995,30.1482,10.5202,36.07909999999999,15.81,0.135,0.0985
4,0.0106,11.06,3.2653,23.1457,2.3401,0.0505,8.5891,1.0335999999999999,0.0243,1.1255,-6900.5,58.026199999999996,7.4828,18.9664,11.1054,24.3057,15.94,0.108,0.0817
5,0.0069,6.26,2.2442,37.3638,2.2797,0.0242,9.0744,3.680899999999999,0.020500000000000004,0.4782,-5546.0,60.9507,4.1813,16.3191,4.3896,19.1189,15.86,0.056,0.0318
6,0.025100000000000008,8.8,2.5551,31.3174,2.2864,0.0655,8.9132,2.810899999999999,0.0245,0.656,-5408.75,58.90760000000001,5.9339,17.1891,11.5102,22.2064,15.79,0.149,0.07520000000000002
7,0.0189,5.24,2.0186,23.5649,2.3080999999999996,0.0867,8.3383,1.5035999999999998,0.0174,0.9319999999999999,-5095.0,58.282000000000004,3.5465999999999998,18.4964,14.685199999999998,25.3099,15.69,0.193,0.0863
8,0.022100000000000005,13.300000000000002,3.7663,32.3594,2.2592,0.08,8.659,23.824500000000004,0.0105,1.2771,-5447.75,58.48080000000001,9.1221,16.1755,14.2503,24.2829,15.94,0.187,0.0243
9,0.0132,5.1,1.6033000000000002,15.4796,2.2877,0.0449,8.7512,1.5745000000000013,0.02088,0.5317,-4958.0,59.9764,3.3971,18.4255,8.041,21.0974,15.909999999999998,0.102,0.0975
10,0.0144,6.99,2.4674,13.0192,2.212,0.10989999999999998,9.534,2.9282,0.033900000000000007,0.565,-5345.25,55.9011,4.735299999999999,17.0718,18.972,23.905,15.98,0.251,0.0824
11,0.021400000000000002,7.32,2.3932999999999995,27.4194,2.2773,0.1141,8.5288,5.4990999999999985,0.0172,0.9361,-5192.5,56.4388,5.2686,14.500899999999998,19.7531,17.5983,15.97,0.248,0.08070000000000001
12,0.024100000000000003,9.69,3.1731,33.2053,2.2959,0.0266,8.1605,-2.5027,0.0198,0.9174999999999999,-6623.75,56.3776,6.8676,22.5027,5.9122,32.7483,15.73,0.064,0.036800000000000006
13,0.0092,10.32,3.2261,30.5482,2.3322999999999996,0.0486,8.8043,0.3400000000000009,0.0116,0.7316,-5416.0,59.0911,7.0359,19.66,8.9372,22.3647,15.98,0.115,0.0929
14,0.008,10.11,3.0013,24.061800000000005,2.2673999999999994,0.0607,8.7556,4.1690999999999985,0.0225,0.8531999999999998,-5187.25,59.67929999999999,6.8145999999999995,15.830900000000002,10.058300000000001,22.3694,15.84,0.138,0.0311
15,0.0159,4.12,1.547,55.391,2.2564,0.0585,8.5571,-3.740000000000002,0.0236,0.7032,-5153.75,56.778400000000005,2.7876,23.74,9.635800000000001,29.1429,15.81,0.125,0.0892
16,0.0096,9.256285640024425,2.7174918012848814,44.9213,2.2784,0.0536,9.131,2.2763599999999964,0.0148,0.7139,-5334.75,59.095800000000004,6.3422069272196495,17.72364,8.919,24.68546,15.89,0.112,0.0909
17,0.026200000000000008,13.530000000000001,3.8318,20.7031,2.3735000000000004,0.0868,8.5687,1.9481999999999986,0.0381,0.8222,-5410.5,57.49009999999999,9.1675,34.666002787332104,14.1928,44.9459616831798,15.8,0.18,0.094
18,0.0055,4.95,1.5118000000000003,25.4407,2.1911,0.0359,8.7187,8.145499999999998,0.0253,0.6144,-5233.75,55.30217167498311,3.4324,11.8545,5.9052,15.0471,16.1,0.076,0.1011
19,0.0286,14.740000000000002,4.0309,14.845300000000002,2.3499,0.13750336952302658,8.441,4.955499999999999,0.0184,0.9383,-4159.573159036706,58.7458,9.9444,15.0445,38.235678500851506,22.1659,15.61,0.3021990244762846,0.0622
