,No.,combination,n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,balancing_sampling_technique,cols,cf_matrix,accuracy,f1,precision,recall,specificity,type_1_error_FP,type_2_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,specificity_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
0,1,3s & knn__uniform & BoS__shap & ROSE & RF,14,3s,knn__uniform,BoS__shap,ROSE,"Index(['feature_60', 'feature_478', 'feature_133', 'feature_349', 'feature_65',
       'feature_435', 'feature_124', 'feature_461', 'feature_283',
       'feature_442', 'feature_34', 'feature_332', 'feature_22',
       'feature_185'],
      dtype='object')","[[265  28]
 [ 15   6]]",0.8630573248407644,0.21818181818181817,0.17647058823529413,0.2857142857142857,0.2857142857142857,28,15,0.5950755728912724,4.729903737927404,0.14770862264865547,"[[1112   58]
 [ 121 1049]]",0.9235042735042736,0.9213877909530083,0.947606142728094,0.8965811965811966,0.8965811965811966,58,121,0.9235042735042734
1,2,3s & knn__uniform & BoS__shap & SMOTE & RF,10,3s,knn__uniform,BoS__shap,SMOTE,"Index(['feature_60', 'feature_478', 'feature_133', 'feature_349', 'feature_65',
       'feature_435', 'feature_34', 'feature_22', 'feature_442',
       'feature_124'],
      dtype='object')","[[247  46]
 [  9  12]]",0.8248407643312102,0.3037974683544304,0.20689655172413793,0.5714285714285714,0.5714285714285714,46,9,0.7072159921989273,6.049902812744831,0.22798390701832816,"[[ 978  192]
 [ 144 1026]]",0.8564102564102564,0.8592964824120604,0.8423645320197044,0.8769230769230769,0.8769230769230769,192,144,0.8564102564102565
2,3,3s & knn__uniform & BoP & ROSE & RF,12,3s,knn__uniform,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_122', 'feature_130', 'feature_131', 'feature_206',
       'feature_349', 'feature_511', 'feature_520'],
      dtype='object')","[[236  57]
 [  8  13]]",0.7929936305732485,0.28571428571428575,0.18571428571428572,0.6190476190476191,0.6190476190476191,57,8,0.7122541849504307,7.149891855804827,0.2037918389638762,"[[984 186]
 [204 966]]",0.8333333333333334,0.8320413436692505,0.8385416666666666,0.8256410256410256,0.8256410256410256,186,204,0.8333333333333333
3,4,3s & knn__uniform & BoP & SMOTE & RF,13,3s,knn__uniform,BoP,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_118', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_349', 'feature_511'],
      dtype='object')","[[236  57]
 [ 10  11]]",0.7866242038216561,0.24719101123595508,0.16176470588235295,0.5238095238095238,0.5238095238095238,57,10,0.664635137331383,7.369884062141838,0.16149860502192104,"[[ 974  196]
 [  42 1128]]",0.8982905982905983,0.9045709703287892,0.851963746223565,0.9641025641025641,0.9641025641025641,196,42,0.8982905982905984
4,5,3s & knn__uniform & RFE__RF & ROSE & RF,14,3s,knn__uniform,RFE__RF,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_65', 'feature_122', 'feature_130', 'feature_131',
       'feature_288', 'feature_337', 'feature_342', 'feature_421',
       'feature_424'],
      dtype='object')","[[240  53]
 [  9  12]]",0.802547770700637,0.27906976744186046,0.18461538461538463,0.5714285714285714,0.5714285714285714,53,9,0.6952705997074597,6.8198933603447855,0.19798961852187524,"[[1010  160]
 [ 196  974]]",0.8478632478632478,0.845486111111111,0.8589065255731922,0.8324786324786325,0.8324786324786325,160,196,0.847863247863248
5,6,3s & knn__uniform & RFE__RF & SMOTE & RF,14,3s,knn__uniform,RFE__RF,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_122', 'feature_130', 'feature_131',
       'feature_288', 'feature_337', 'feature_342', 'feature_427',
       'feature_489'],
      dtype='object')","[[252  41]
 [ 14   7]]",0.8248407643312102,0.2028985507246377,0.14583333333333334,0.3333333333333333,0.3333333333333333,41,14,0.5967007963594995,6.049890080301674,0.12111959287531815,"[[1016  154]
 [  54 1116]]",0.9111111111111111,0.9147540983606558,0.878740157480315,0.9538461538461539,0.9538461538461539,154,54,0.9111111111111112
6,7,3s & knn__uniform & nothing & ROSE & RF,225,3s,knn__uniform,nothing,ROSE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_572', 'feature_573', 'feature_574', 'feature_579',
       'feature_580', 'feature_582', 'feature_583', 'feature_584',
       'feature_587', 'feature_590'],
      dtype='object', length=225)","[[293   0]
 [ 21   0]]",0.9331210191082803,0.0,0.0,0.0,0.0,0,21,0.5,2.3099181665386137,0.0,"[[1170    0]
 [  92 1078]]",0.9606837606837607,0.9590747330960855,1.0,0.9213675213675213,0.9213675213675213,0,92,0.9606837606837606
7,8,3s & knn__uniform & nothing & SMOTE & RF,225,3s,knn__uniform,nothing,SMOTE,"Index(['feature_1', 'feature_2', 'feature_3', 'feature_4', 'feature_5',
       'feature_7', 'feature_8', 'feature_9', 'feature_10', 'feature_11',
       ...
       'feature_572', 'feature_573', 'feature_574', 'feature_579',
       'feature_580', 'feature_582', 'feature_583', 'feature_584',
       'feature_587', 'feature_590'],
      dtype='object', length=225)","[[273  20]
 [ 15   6]]",0.8885350318471338,0.25531914893617025,0.23076923076923078,0.2857142857142857,0.2857142857142857,20,15,0.6087274500243782,3.849914540670312,0.19581442997219378,"[[1120   50]
 [   6 1164]]",0.976068376068376,0.976510067114094,0.9588138385502472,0.9948717948717949,0.9948717948717949,50,6,0.976068376068376
8,9,3s & MICE & BoS__shap & ROSE & RF,10,3s,MICE,BoS__shap,ROSE,"Index(['feature_60', 'feature_478', 'feature_65', 'feature_349', 'feature_299',
       'feature_442', 'feature_34', 'feature_332', 'feature_22',
       'feature_118'],
      dtype='object')","[[244  49]
 [ 10  11]]",0.8121019108280255,0.2716049382716049,0.18333333333333332,0.5238095238095238,0.5238095238095238,49,10,0.6782870144644888,6.489894864884746,0.19149864711530062,"[[998 172]
 [201 969]]",0.8405982905982906,0.8385980095196885,0.8492550394390885,0.8282051282051283,0.8282051282051283,172,201,0.8405982905982906
9,10,3s & MICE & BoS__shap & SMOTE & RF,11,3s,MICE,BoS__shap,SMOTE,"Index(['feature_60', 'feature_478', 'feature_65', 'feature_349', 'feature_299',
       'feature_34', 'feature_22', 'feature_118', 'feature_283', 'feature_442',
       'feature_332'],
      dtype='object')","[[253  40]
 [  8  13]]",0.8471337579617835,0.35135135135135137,0.24528301886792453,0.6190476190476191,0.6190476190476191,40,8,0.7412644238582805,5.279914811633506,0.28262732032365545,"[[ 983  187]
 [ 139 1031]]",0.8606837606837607,0.8634840871021775,0.8464696223316913,0.8811965811965812,0.8811965811965812,187,139,0.8606837606837607
