,No.,combination,outlier_replace_with,imputation_knn_weight,FS_classifier_model,balancing_sampling_technique,cols,cf_matrix,accuracy,f1,precision,recall,specificity,type_1_error_FP,type_2_error_FN,auc,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,specificity_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
0,0,3s&knn__uniform&BoP&SMOTE,3s,knn__uniform,BoP,SMOTE,"Index(['feature_20', 'feature_22', 'feature_34', 'feature_60', 'feature_104',
       'feature_122', 'feature_130', 'feature_131', 'feature_206',
       'feature_248', 'feature_342', 'feature_349', 'feature_427',
       'feature_478', 'feature_511', 'feature_520'],
      dtype='object')","[[246  47]
 [ 12   9]]",0.8121019108280255,0.2337662337662338,0.16071428571428573,0.42857142857142855,0.42857142857142855,47,12,0.6340809361287179,"[[ 987  183]
 [  74 1096]]",0.8901709401709401,0.8950592078399346,0.8569194683346364,0.9367521367521368,0.9367521367521368,183,74,0.8901709401709402
1,1,3s&knn__uniform&BoP&ROSE,3s,knn__uniform,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_118', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_342',
       'feature_349', 'feature_478', 'feature_511'],
      dtype='object')","[[240  53]
 [ 11  10]]",0.7961783439490446,0.23809523809523808,0.15873015873015872,0.47619047619047616,0.47619047619047616,53,11,0.6476515520884121,"[[999 171]
 [183 987]]",0.8487179487179487,0.847938144329897,0.8523316062176166,0.8435897435897436,0.8435897435897436,171,183,0.8487179487179487
2,2,3s&knn__uniform&BoS__shap&SMOTE,3s,knn__uniform,BoS__shap,SMOTE,"Index(['feature_118', 'feature_442', 'feature_22', 'feature_164',
       'feature_435', 'feature_133', 'feature_461', 'feature_148',
       'feature_34', 'feature_60', 'feature_478', 'feature_342', 'feature_65',
       'feature_124', 'feature_332', 'feature_206', 'feature_66',
       'feature_349', 'feature_299'],
      dtype='object')","[[248  45]
 [  9  12]]",0.8280254777070064,0.3076923076923077,0.21052631578947367,0.5714285714285714,0.5714285714285714,45,9,0.7089224768405655,"[[ 976  194]
 [ 104 1066]]",0.8726495726495727,0.8773662551440329,0.846031746031746,0.9111111111111111,0.9111111111111111,194,104,0.8726495726495727
3,3,3s&knn__uniform&BoS__shap&ROSE,3s,knn__uniform,BoS__shap,ROSE,"Index(['feature_34', 'feature_60', 'feature_478', 'feature_342', 'feature_118',
       'feature_22', 'feature_133', 'feature_65', 'feature_164', 'feature_435',
       'feature_206', 'feature_66', 'feature_349', 'feature_299',
       'feature_148'],
      dtype='object')","[[245  48]
 [  8  13]]",0.821656050955414,0.3170731707317073,0.21311475409836064,0.6190476190476191,0.6190476190476191,48,8,0.7276125467251747,"[[1011  159]
 [ 198  972]]",0.8474358974358974,0.8448500651890481,0.8594164456233422,0.8307692307692308,0.8307692307692308,159,198,0.8474358974358975
4,4,3s&knn__uniform&BoS__gini&SMOTE,3s,knn__uniform,BoS__gini,SMOTE,"Index(['feature_427', 'feature_154', 'feature_354', 'feature_133',
       'feature_65', 'feature_442', 'feature_171', 'feature_66', 'feature_289',
       'feature_299', 'feature_461'],
      dtype='object')","[[221  72]
 [ 14   7]]",0.7261146496815286,0.14,0.08860759493670886,0.3333333333333333,0.3333333333333333,72,14,0.5437997724687145,"[[922 248]
 [211 959]]",0.8038461538461539,0.806899453092133,0.7945318972659486,0.8196581196581196,0.8196581196581196,248,211,0.8038461538461538
5,5,3s&knn__uniform&BoS__gini&ROSE,3s,knn__uniform,BoS__gini,ROSE,"Index(['feature_427', 'feature_354', 'feature_133', 'feature_65',
       'feature_442', 'feature_171', 'feature_66', 'feature_289',
       'feature_299', 'feature_461'],
      dtype='object')","[[250  43]
 [ 12   9]]",0.8248407643312102,0.24657534246575344,0.17307692307692307,0.42857142857142855,0.42857142857142855,43,12,0.6409068746952706,"[[1030  140]
 [ 319  851]]",0.8038461538461539,0.7875983341045811,0.858728557013118,0.7273504273504273,0.7273504273504273,140,319,0.8038461538461539
6,6,3s&knn__uniform&RFE__RF&SMOTE,3s,knn__uniform,RFE__RF,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_32', 'feature_34',
       'feature_60', 'feature_92', 'feature_122', 'feature_130', 'feature_131',
       'feature_153', 'feature_206', 'feature_337', 'feature_427',
       'feature_478', 'feature_489'],
      dtype='object')","[[257  36]
 [ 14   7]]",0.8407643312101911,0.21875,0.16279069767441862,0.3333333333333333,0.3333333333333333,36,14,0.6052332195676905,"[[1042  128]
 [  42 1128]]",0.9273504273504274,0.9299258037922505,0.8980891719745223,0.9641025641025641,0.9641025641025641,128,42,0.9273504273504273
7,7,3s&knn__uniform&RFE__RF&ROSE,3s,knn__uniform,RFE__RF,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_32', 'feature_34',
       'feature_60', 'feature_104', 'feature_122', 'feature_130',
       'feature_131', 'feature_342', 'feature_349', 'feature_424',
       'feature_426', 'feature_427', 'feature_461'],
      dtype='object')","[[250  43]
 [ 11  10]]",0.8280254777070064,0.27027027027027023,0.18867924528301888,0.47619047619047616,0.47619047619047616,43,11,0.6647163985047945,"[[1046  124]
 [ 177  993]]",0.8713675213675214,0.8683865325754264,0.8889883616830797,0.8487179487179487,0.8487179487179487,124,177,0.8713675213675214
8,8,3s&MICE&BoP&SMOTE,3s,MICE,BoP,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_113', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_342',
       'feature_349', 'feature_383', 'feature_478', 'feature_520'],
      dtype='object')","[[231  62]
 [ 10  11]]",0.7707006369426752,0.2340425531914893,0.1506849315068493,0.5238095238095238,0.5238095238095238,62,10,0.6561027141231919,"[[ 960  210]
 [  29 1141]]",0.8978632478632479,0.9051963506545022,0.844559585492228,0.9752136752136752,0.9752136752136752,210,29,0.8978632478632479
9,9,3s&MICE&BoP&ROSE,3s,MICE,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_113', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_342',
       'feature_349', 'feature_383', 'feature_478', 'feature_520'],
      dtype='object')","[[246  47]
 [ 11  10]]",0.8152866242038217,0.2564102564102564,0.17543859649122806,0.47619047619047616,0.47619047619047616,47,11,0.6578904599382416,"[[1026  144]
 [ 131 1039]]",0.8824786324786325,0.883127921801955,0.8782755705832629,0.888034188034188,0.888034188034188,144,131,0.8824786324786325
