,No.,combination,n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,balancing_sampling_technique,cols,cf_matrix,accuracy,f1,precision,recall,specificity,type_1_error_FP,type_2_error_FN,auc,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,specificity_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
0,0,3s&knn__uniform&BoP&SMOTE,13,3s,knn__uniform,BoP,SMOTE,"Index(['feature_20', 'feature_22', 'feature_34', 'feature_60', 'feature_104',
       'feature_122', 'feature_130', 'feature_131', 'feature_206',
       'feature_248', 'feature_349', 'feature_427', 'feature_511'],
      dtype='object')","[[246  47]
 [ 12   9]]",0.8121019108280255,0.2337662337662338,0.16071428571428573,0.42857142857142855,0.42857142857142855,47,12,0.6340809361287179,"[[ 984  186]
 [  75 1095]]",0.8884615384615384,0.8935128518971847,0.8548009367681498,0.9358974358974359,0.9358974358974359,186,75,0.8884615384615385
1,1,3s&knn__uniform&BoP&ROSE,14,3s,knn__uniform,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_118', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_349',
       'feature_511'],
      dtype='object')","[[234  59]
 [ 10  11]]",0.7802547770700637,0.24175824175824173,0.15714285714285714,0.5238095238095238,0.5238095238095238,59,10,0.6612221680481066,"[[985 185]
 [189 981]]",0.8401709401709402,0.8398972602739726,0.8413379073756432,0.8384615384615385,0.8384615384615385,185,189,0.8401709401709402
2,2,3s&knn__uniform&BoS__shap&SMOTE,14,3s,knn__uniform,BoS__shap,SMOTE,"Index(['feature_442', 'feature_206', 'feature_435', 'feature_118',
       'feature_133', 'feature_461', 'feature_66', 'feature_22', 'feature_148',
       'feature_349', 'feature_34', 'feature_124', 'feature_332',
       'feature_60'],
      dtype='object')","[[252  41]
 [ 10  11]]",0.8375796178343949,0.3013698630136986,0.21153846153846154,0.5238095238095238,0.5238095238095238,41,10,0.6919388915975947,"[[ 983  187]
 [ 110 1060]]",0.8730769230769231,0.8771203971865951,0.8500400962309543,0.905982905982906,0.905982905982906,187,110,0.8730769230769231
3,3,3s&knn__uniform&BoS__shap&ROSE,10,3s,knn__uniform,BoS__shap,ROSE,"Index(['feature_164', 'feature_22', 'feature_148', 'feature_65', 'feature_206',
       'feature_349', 'feature_118', 'feature_34', 'feature_60',
       'feature_133'],
      dtype='object')","[[242  51]
 [  9  12]]",0.8089171974522293,0.2857142857142857,0.19047619047619047,0.5714285714285714,0.5714285714285714,51,9,0.6986835689907362,"[[973 197]
 [186 984]]",0.8363247863247864,0.8370905997447895,0.8331922099915327,0.841025641025641,0.841025641025641,197,186,0.8363247863247864
4,4,3s&knn__uniform&BoS__gini&SMOTE,7,3s,knn__uniform,BoS__gini,SMOTE,"Index(['feature_289', 'feature_442', 'feature_65', 'feature_354',
       'feature_299', 'feature_133', 'feature_461'],
      dtype='object')","[[217  76]
 [ 12   9]]",0.7197452229299363,0.16981132075471697,0.10588235294117647,0.42857142857142855,0.42857142857142855,76,12,0.5845928815212091,"[[ 874  296]
 [ 156 1014]]",0.8068376068376069,0.817741935483871,0.7740458015267175,0.8666666666666667,0.8666666666666667,296,156,0.8068376068376069
5,5,3s&knn__uniform&BoS__gini&ROSE,7,3s,knn__uniform,BoS__gini,ROSE,"Index(['feature_289', 'feature_442', 'feature_65', 'feature_354',
       'feature_299', 'feature_133', 'feature_461'],
      dtype='object')","[[243  50]
 [ 11  10]]",0.8057324840764332,0.2469135802469136,0.16666666666666666,0.47619047619047616,0.47619047619047616,50,11,0.6527710060133268,"[[1017  153]
 [ 364  806]]",0.7790598290598291,0.7571629873179897,0.8404588112617309,0.6888888888888889,0.6888888888888889,153,364,0.7790598290598291
6,6,3s&knn__uniform&RFE__RF&SMOTE,18,3s,knn__uniform,RFE__RF,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_65', 'feature_92', 'feature_118', 'feature_122', 'feature_130',
       'feature_131', 'feature_153', 'feature_206', 'feature_337',
       'feature_349', 'feature_427', 'feature_489', 'feature_511'],
      dtype='object')","[[259  34]
 [ 15   6]]",0.8439490445859873,0.1967213114754098,0.15,0.2857142857142857,0.2857142857142857,34,15,0.5848366650414432,"[[1048  122]
 [  42 1128]]",0.9299145299145299,0.9322314049586777,0.9024,0.9641025641025641,0.9641025641025641,122,42,0.92991452991453
7,7,3s&knn__uniform&RFE__RF&ROSE,18,3s,knn__uniform,RFE__RF,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_118', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_320', 'feature_349',
       'feature_424', 'feature_426', 'feature_427', 'feature_461',
       'feature_489'],
      dtype='object')","[[243  50]
 [  9  12]]",0.8121019108280255,0.2891566265060241,0.1935483870967742,0.5714285714285714,0.5714285714285714,50,9,0.7003900536323745,"[[1009  161]
 [ 197  973]]",0.847008547008547,0.8446180555555556,0.8580246913580247,0.8316239316239317,0.8316239316239317,161,197,0.8470085470085472
8,8,3s&MICE&BoP&SMOTE,14,3s,MICE,BoP,SMOTE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_113', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_349',
       'feature_383'],
      dtype='object')","[[244  49]
 [ 11  10]]",0.8089171974522293,0.25,0.1694915254237288,0.47619047619047616,0.47619047619047616,49,11,0.6544774906549651,"[[ 985  185]
 [  39 1131]]",0.9042735042735043,0.909895414320193,0.8594224924012158,0.9666666666666667,0.9666666666666667,185,39,0.9042735042735043
9,9,3s&MICE&BoP&ROSE,14,3s,MICE,BoP,ROSE,"Index(['feature_1', 'feature_20', 'feature_22', 'feature_34', 'feature_60',
       'feature_104', 'feature_113', 'feature_122', 'feature_130',
       'feature_131', 'feature_206', 'feature_248', 'feature_349',
       'feature_383'],
      dtype='object')","[[240  53]
 [  9  12]]",0.802547770700637,0.27906976744186046,0.18461538461538463,0.5714285714285714,0.5714285714285714,53,9,0.6952705997074597,"[[ 971  199]
 [ 165 1005]]",0.8444444444444444,0.8466722830665544,0.834717607973422,0.8589743589743589,0.8589743589743589,199,165,0.8444444444444444
