,hyperparam,train_cf_matrix,train_accuracy,train_f1,train_precision,train_recall,train_auc,train_log_loss,train_cohen_kappa_score,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss,test_cohen_kappa_score
0,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}","[[ 258  390]
 [  16 1144]]",0.7754424778761062,0.8492947290274684,0.7457627118644068,0.9862068965517241,0.6921775223499361,7.756114523966546,0.4404576056200604,"[[110 183]
 [  2  19]]",0.410828025477707,0.17040358744394618,0.09405940594059406,0.9047619047619048,0.6400942629611571,20.349745093593,0.056030420228151634
1,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}","[[487 161]
 [176 984]]",0.8136061946902655,0.8537960954446855,0.8593886462882097,0.8482758620689655,0.7999095359727545,6.437885166079183,0.5967704362558237,"[[196  97]
 [  9  12]]",0.6624203821656051,0.1846153846153846,0.11009174311926606,0.5714285714285714,0.6201852754753778,11.659833945258795,0.08161801225097964
2,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}","[[595  53]
 [627 533]]",0.6238938053097345,0.6105383734249713,0.909556313993174,0.45948275862068966,0.6888463175819498,12.990271198674261,0.31593191368136175,"[[246  47]
 [ 16   5]]",0.7993630573248408,0.136986301369863,0.09615384615384616,0.23809523809523808,0.5388428408906225,6.929874184581505,0.046098948789661476
3,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}","[[ 238  410]
 [  27 1133]]",0.7582964601769911,0.8383277839437662,0.7342838626053143,0.9767241379310345,0.6720040442741593,8.348325840443778,0.3956109859982375,"[[104 189]
 [  5  16]]",0.3821656050955414,0.14159292035398233,0.07804878048780488,0.7619047619047619,0.5584267836827563,21.339725301041334,0.02306187253424008
4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}","[[ 236  412]
 [  13 1147]]",0.764933628318584,0.8436925340198601,0.7357280307889673,0.9887931034482759,0.6764953171562367,8.119087058616305,0.4085008375209379,"[[ 97 196]
 [  5  16]]",0.35987261146496813,0.13733905579399142,0.07547169811320754,0.7619047619047619,0.5464813911912888,22.109715848641287,0.017803230726135433
5,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}","[[538 110]
 [325 835]]",0.7594026548672567,0.7933491686460807,0.8835978835978836,0.7198275862068966,0.7750372498935717,8.309986552822714,0.5125446251487505,"[[221  72]
 [ 12   9]]",0.732484076433121,0.17647058823529413,0.1111111111111111,0.42857142857142855,0.5914188200877621,9.239856013335897,0.0785998742402011
6,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1}","[[   0  648]
 [   0 1160]]",0.6415929203539823,0.7816711590296496,0.6415929203539823,1.0,0.5,12.379228563626597,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
7,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1.5}","[[   5  643]
 [   0 1160]]",0.644358407079646,0.7829902126223423,0.6433721575152523,1.0,0.503858024691358,12.283709824709725,0.009879537773901825,"[[  1 292]
 [  0  21]]",0.07006369426751592,0.12574850299401197,0.0670926517571885,1.0,0.5017064846416383,32.11960569988387,0.0004578654747628974
8,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 2}","[[   0  648]
 [   0 1160]]",0.6415929203539823,0.7816711590296496,0.6415929203539823,1.0,0.5,12.379228563626597,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
9,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1}","[[  56  592]
 [   0 1160]]",0.672566371681416,0.7967032967032966,0.6621004566210046,1.0,0.5432098765432098,11.309418687757631,0.1082435747040631,"[[ 14 279]
 [  3  18]]",0.10191082802547771,0.11320754716981131,0.06060606060606061,0.8571428571428571,0.4524622135543637,31.019611563846613,-0.013390098194053568
