,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,train_cf_matrix,train_accuracy,train_f1,train_precision,train_recall,train_auc,train_log_loss,train_cohen_kappa_score,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss,test_cohen_kappa_score
0,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",100,10,linear,0.0,0.5,"[[218 540]
 [345 742]]",0.5203252032520326,0.626424651751794,0.5787831513260531,0.6826126954921803,0.48510582004160463,16.567614575668436,-0.030995045263197074,"[[ 78 215]
 [  7  14]]",0.2929936305732484,0.11199999999999999,0.0611353711790393,0.6666666666666666,0.4664391353811148,24.419682398463895,-0.011991521732818367
1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",100,10,linear,0.0,1.0,"[[330 428]
 [354 733]]",0.5761517615176152,0.652135231316726,0.6313522825150732,0.6743330266789328,0.5548446136033186,14.639385023588227,0.11133407984744503,"[[121 172]
 [  7  14]]",0.4299363057324841,0.13526570048309178,0.07526881720430108,0.6666666666666666,0.5398179749715586,19.689740463207023,0.017137061518553653
2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",100,10,linear,0.0,1.5,"[[378 380]
 [465 622]]",0.5420054200542005,0.5955002393489708,0.6207584830339321,0.5722171113155474,0.5354489250509136,15.818737073562602,0.06971477876692345,"[[153 140]
 [ 12   9]]",0.5159235668789809,0.10588235294117647,0.06040268456375839,0.42857142857142855,0.47537786445636276,16.71976419002118,-0.01286023513433232
3,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",100,10,linear,0.0,2.0,"[[439 319]
 [360 727]]",0.6319783197831979,0.6816690107829348,0.6950286806883366,0.6688132474701012,0.6239844601466601,12.711156771666442,0.24595562366489077,"[[162 131]
 [ 10  11]]",0.5509554140127388,0.13496932515337423,0.07746478873239436,0.5238095238095238,0.5383552738501545,15.509784136769943,0.02087664204520312
4,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",100,10,linear,0.1,0.5,"[[445 313]
 [319 768]]",0.6574525745257452,0.7084870848708487,0.7104532839962997,0.7065317387304508,0.6468014894179959,11.831304582969755,0.2932516943800284,"[[162 131]
 [  7  14]]",0.5605095541401274,0.16867469879518074,0.09655172413793103,0.6666666666666666,0.6097838452787258,15.179795827264424,0.058695746622062006
5,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",100,10,linear,0.1,1.0,"[[403 355]
 [218 869]]",0.6894308943089431,0.7520553872782345,0.7099673202614379,0.7994480220791168,0.6655551456042021,10.726830748710862,0.34042146992267996,"[[142 151]
 [  6  15]]",0.5,0.16042780748663102,0.09036144578313253,0.7142857142857143,0.5994636762554851,17.269772717238652,0.047308004483438415
6,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",100,10,linear,0.1,1.5,"[[348 410]
 [278 809]]",0.62710027100271,0.7016478751084128,0.6636587366694011,0.7442502299908004,0.6016765661827352,12.879678045878013,0.20885728816601679,"[[128 165]
 [  8  13]]",0.44904458598726116,0.1306532663316583,0.07303370786516854,0.6190476190476191,0.5279538436535023,19.029746018775572,0.01250681694237421
7,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}",100,10,linear,0.1,2.0,"[[436 322]
 [266 821]]",0.6813008130081301,0.736322869955157,0.7182852143482065,0.7552897884084636,0.6652438387952608,11.007619507089434,0.33422442171309896,"[[155 138]
 [  6  15]]",0.5414012738853503,0.1724137931034483,0.09803921568627451,0.7142857142857143,0.6216479765967821,15.839790271695877,0.06210329807093973
8,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}",100,10,linear,0.3,0.5,"[[280 478]
 [357 730]]",0.5474254742547425,0.6361655773420479,0.6043046357615894,0.671573137074517,0.5204831384581028,15.631577505323607,0.04198042016487946,"[[ 97 196]
 [  5  16]]",0.35987261146496813,0.13733905579399142,0.07547169811320754,0.7619047619047619,0.5464813911912888,22.109715848641287,0.017803230726135433
9,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}",100,10,linear,0.3,1.0,"[[   4  754]
 [   0 1087]]",0.5913279132791328,0.7424863387978142,0.5904399782726779,1.0,0.5026385224274406,14.115360595243914,0.006212200659224787,"[[  1 292]
 [  0  21]]",0.07006369426751592,0.12574850299401197,0.0670926517571885,1.0,0.5017064846416383,32.11960569988387,0.0004578654747628974
