,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,train_cf_matrix,train_accuracy,train_f1,train_precision,train_recall,train_auc,train_log_loss,train_cohen_kappa_score,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss,test_cohen_kappa_score
0,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",100,10,linear,0.0,0.5,"[[386 372]
 [297 790]]",0.6373983739837399,0.7025344597598933,0.6798623063683304,0.7267709291628335,0.6180028788294378,12.523977701051098,0.2395933507349911,"[[144 149]
 [ 10  11]]",0.49363057324840764,0.12154696132596686,0.06875,0.5238095238095238,0.5076385503006663,17.4897598305984,0.003751446701520722
1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",100,10,linear,0.0,1.0,"[[669  89]
 [549 538]]",0.6542005420054201,0.6277712952158694,0.8580542264752791,0.49494020239190434,0.688762977185398,11.94352872852266,0.34577086223455344,"[[252  41]
 [ 11  10]]",0.8343949044585988,0.2777777777777778,0.19607843137254902,0.47619047619047616,0.6681293677880709,5.719901770796158,0.20218899638424703
2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",100,10,linear,0.0,1.5,"[[387 371]
 [370 717]]",0.5983739837398374,0.6593103448275862,0.6590073529411765,0.6596136154553818,0.5850838525825721,13.871831956246838,0.17020168576254757,"[[135 158]
 [ 11  10]]",0.46178343949044587,0.10582010582010581,0.05952380952380952,0.47619047619047616,0.4684706647163985,18.589743780681133,-0.014840313635494429
3,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",100,10,linear,0.0,2.0,"[[400 358]
 [337 750]]",0.6233062330623306,0.6833712984054671,0.6768953068592057,0.6899724011039559,0.6088384432960413,13.010696937855249,0.21859336751203395,"[[145 148]
 [  6  15]]",0.5095541401273885,0.16304347826086954,0.09202453987730061,0.7142857142857143,0.6045831301803999,16.93977676826724,0.05053995680345569
4,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",100,10,linear,0.1,0.5,"[[417 341]
 [385 702]]",0.6065040650406504,0.6591549295774647,0.673058485139022,0.6458141674333027,0.5979730467773373,13.591015894541384,0.19423978324895574,"[[162 131]
 [ 12   9]]",0.5445859872611465,0.11180124223602483,0.06428571428571428,0.42857142857142855,0.4907362262311068,15.729776343106954,-0.005103639700944518
5,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",100,10,linear,0.1,1.0,"[[309 449]
 [220 867]]",0.6373983739837399,0.721598002496879,0.6588145896656535,0.797608095676173,0.6026299053578754,12.52401107178396,0.21509381889681167,"[[111 182]
 [  3  18]]",0.410828025477707,0.16289592760180996,0.09,0.8571428571428571,0.6179912237932716,20.34974254710437,0.04761124044988019
6,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",100,10,linear,0.1,1.5,"[[239 519]
 [130 957]]",0.6482384823848238,0.7467811158798283,0.6483739837398373,0.8804047838086476,0.5978541069439016,12.149637328652197,0.2121874241320708,"[[ 87 206]
 [  6  15]]",0.3248407643312102,0.12396694214876032,0.06787330316742081,0.7142857142857143,0.5056070209653827,23.31969844838116,0.002068779420142053
7,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}",100,10,linear,0.1,2.0,"[[340 418]
 [179 908]]",0.6764227642276422,0.7525901367592208,0.6847662141779789,0.8353265869365225,0.641937699800715,11.176142948231707,0.29809955131746724,"[[119 174]
 [  6  15]]",0.4267515923566879,0.14285714285714282,0.07936507936507936,0.7142857142857143,0.560214529497806,19.79974165935279,0.025550843074376717
8,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}",100,10,linear,0.3,0.5,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
9,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}",100,10,linear,0.3,1.0,"[[  12  746]
 [  26 1061]]",0.5815718157181572,0.733241188666206,0.5871610403984505,0.9760809567617296,0.4959560456631867,14.452320800300255,-0.009445702800543021,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.5034129692832765,32.009607050226734,0.0009184543724988226
10,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}",100,10,linear,0.3,1.5,"[[125 633]
 [140 947]]",0.581029810298103,0.7101612298462692,0.5993670886075949,0.8712051517939282,0.5180564017544839,14.470992031674403,0.040055327641272176,"[[ 48 245]
 [  0  21]]",0.2197452229299363,0.14634146341463414,0.07894736842105263,1.0,0.5819112627986348,26.949669165998454,0.025536442631672207
11,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}",100,10,linear,0.3,2.0,"[[517 241]
 [330 757]]",0.6905149051490515,0.7261390887290167,0.7585170340681363,0.6964121435142594,0.6892350955038316,10.689340934674624,0.37186265221297987,"[[191 102]
 [  9  12]]",0.6464968152866242,0.17777777777777778,0.10526315789473684,0.5714285714285714,0.6116528522671867,12.209827193544475,0.07308121908409126
12,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}",100,10,linear,0.5,0.5,"[[234 524]
 [339 748]]",0.532249322493225,0.6341670199236965,0.5880503144654088,0.6881324747010119,0.49841979935578296,16.15576315331238,-0.0032816076853134923,"[[ 99 194]
 [  3  18]]",0.37261146496815284,0.15450643776824033,0.08490566037735849,0.8571428571428571,0.5975134080936129,21.669726342990003,0.03734943508979438
13,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}",100,10,linear,0.5,1.0,"[[   1  757]
 [   0 1087]]",0.5897018970189702,0.74172637325145,0.5894793926247288,1.0,0.5006596306068601,14.171522507426582,0.0015541459739112362,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
