,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
210,3.665662622,0.090263024,0.012294054,0.006311349,friedman_mse,0.1,deviance,8,log2,1,2,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'subsample': 0.8}",0.971153846,0.980392157,0.953051643,0.980487805,0.962085308,0.969434152,0.010654676,1
58,7.457146883,0.409092614,0.023798895,0.002714944,friedman_mse,0.05,deviance,8,sqrt,1,2,1000,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000, 'subsample': 0.8}",0.961904762,0.980676329,0.948598131,0.980487805,0.966666667,0.967666739,0.01209497,2
69,6.851283503,0.281034212,0.022600365,0.001959761,friedman_mse,0.05,deviance,8,log2,1,2,800,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.9}",0.966507177,0.980392157,0.944186047,0.980487805,0.966666667,0.96764797,0.013266513,3
127,4.674843264,0.280326004,0.017171478,0.00109018,friedman_mse,0.075,deviance,8,sqrt,1,2,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'subsample': 0.9}",0.961722488,0.980487805,0.948598131,0.980487805,0.966666667,0.967592579,0.0120721,4
138,5.607758141,0.396020818,0.018825245,0.002870313,friedman_mse,0.075,deviance,8,log2,1,2,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'subsample': 0.8}",0.966346154,0.975845411,0.948598131,0.980487805,0.966666667,0.967588833,0.010932483,5
198,3.64150033,0.05258381,0.014759302,0.001177856,friedman_mse,0.1,deviance,8,sqrt,1,2,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'subsample': 0.8}",0.971153846,0.975609756,0.948598131,0.980487805,0.962085308,0.967586969,0.011263779,6
56,7.689949083,0.398793437,0.022997332,0.001266894,friedman_mse,0.05,deviance,8,sqrt,1,2,800,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.8}",0.966507177,0.975845411,0.948598131,0.975728155,0.966666667,0.966669108,0.009928316,7
71,6.797236395,0.284411143,0.022402239,0.000799922,friedman_mse,0.05,deviance,8,log2,1,2,1000,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000, 'subsample': 0.9}",0.966507177,0.980295567,0.948598131,0.975728155,0.962085308,0.966642868,0.01109361,8
131,6.890267563,0.965290463,0.021702337,0.003337973,friedman_mse,0.075,deviance,8,sqrt,1,2,1000,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000, 'subsample': 0.9}",0.971014493,0.980392157,0.948598131,0.971014493,0.962085308,0.966620916,0.010711178,9
213,3.833920097,0.072012108,0.017263031,0.002728608,friedman_mse,0.1,deviance,8,log2,1,2,800,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.9}",0.952830189,0.980392157,0.953051643,0.980487805,0.962085308,0.96576942,0.012435381,10
128,4.872596836,0.279116201,0.016601563,0.001201314,friedman_mse,0.075,deviance,8,sqrt,1,2,800,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.8}",0.961904762,0.980582524,0.948598131,0.971014493,0.966666667,0.965753315,0.010559653,11
201,4.359547424,0.173137029,0.015039968,0.002718692,friedman_mse,0.1,deviance,8,sqrt,1,2,800,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.9}",0.952830189,0.98019802,0.953051643,0.980487805,0.962085308,0.965730593,0.012389883,12
212,3.740497589,0.061308202,0.012583256,0.006293684,friedman_mse,0.1,deviance,8,log2,1,2,800,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.8}",0.966507177,0.975728155,0.948598131,0.975728155,0.962085308,0.965729385,0.010072884,13
