,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_degree,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_rec,split1_test_rec,split2_test_rec,split3_test_rec,split4_test_rec,mean_test_rec,std_test_rec,rank_test_rec,split0_train_rec,split1_train_rec,split2_train_rec,split3_train_rec,split4_train_rec,mean_train_rec,std_train_rec,split0_test_pre,split1_test_pre,split2_test_pre,split3_test_pre,split4_test_pre,mean_test_pre,std_test_pre,rank_test_pre,split0_train_pre,split1_train_pre,split2_train_pre,split3_train_pre,split4_train_pre,mean_train_pre,std_train_pre,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_roc,split1_test_roc,split2_test_roc,split3_test_roc,split4_test_roc,mean_test_roc,std_test_roc,rank_test_roc,split0_train_roc,split1_train_roc,split2_train_roc,split3_train_roc,split4_train_roc,mean_train_roc,std_train_roc,split0_test_cost_wafer,split1_test_cost_wafer,split2_test_cost_wafer,split3_test_cost_wafer,split4_test_cost_wafer,mean_test_cost_wafer,std_test_cost_wafer,rank_test_cost_wafer,split0_train_cost_wafer,split1_train_cost_wafer,split2_train_cost_wafer,split3_train_cost_wafer,split4_train_cost_wafer,mean_train_cost_wafer,std_train_cost_wafer
0,0.273102283,0.258905086,0.408551693,0.426979419,0.1,0.001,rbf,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0,80,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0.84709778,0.836027789,0.843137255,0.863556681,0.874107259,0.852785353,0.013977807,77,0.851353385,0.852514766,0.850966936,0.845509869,0.843081341,0.84868526,0.003700732,-151,-151,-151,-151,-151,-151,0,26,-604,-604,-604,-604,-604,-604,0
1,0.412986231,0.29441323,0.480991316,0.291137421,0.1,0.01,rbf,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0,80,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0.846383587,0.834859109,0.841514089,0.862680171,0.872386703,0.851564732,0.013885568,80,0.850814391,0.851731699,0.850352686,0.845261728,0.843022357,0.848236572,0.003446062,-151,-151,-151,-151,-151,-151,0,26,-604,-604,-604,-604,-604,-604,0
2,0.140432072,0.026686747,0.181310701,0.046206075,0.1,0.1,rbf,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.622535211,0.633802817,0.630985915,0.622535211,0.625352113,0.627042254,0.004576923,77,0.614245416,0.626939351,0.619887165,0.618476728,0.617771509,0.619464034,0.004174513,0.990196078,0.990196078,1,0.995098039,0.995098039,0.994117647,0.003668292,50,0.991400491,0.99017199,0.991400491,0.992628993,0.993857494,0.991891892,0.00125283,0.604790419,0.612121212,0.608955224,0.604166667,0.605970149,0.607200734,0.002960367,77,0.599109131,0.607385079,0.602688574,0.601638124,0.601040119,0.602372205,0.002763692,0.750929368,0.756554307,0.756957328,0.751851852,0.753246753,0.753907922,0.002442891,77,0.746876446,0.752919197,0.749651649,0.749188688,0.749074074,0.749542011,0.001942495,0.243146549,0.27538101,0.284000565,0.25108226,0.259289732,0.262580023,0.015122099,77,0.220750471,0.257447369,0.238454047,0.236106145,0.236014967,0.2377546,0.011689128,0.847974289,0.835475912,0.842260745,0.86511492,0.87264641,0.852694455,0.013999778,79,0.852764941,0.853704623,0.852364255,0.847134989,0.845377662,0.850269294,0.003351732,-152,-148,-131,-143,-142,-143.2,7.082372484,23,-610,-601,-602,-595,-587,-599,7.668115805
3,0.096904516,0.006229457,0.116282082,0.010437505,0.1,1,rbf,,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.794366197,0.763380282,0.783098592,0.822535211,0.81971831,0.796619718,0.022351363,55,0.792665726,0.799717913,0.794781382,0.789844852,0.791255289,0.793653032,0.003443316,0.818627451,0.803921569,0.799019608,0.848039216,0.852941176,0.824509804,0.022227028,90,0.828009828,0.824324324,0.83046683,0.818181818,0.813267813,0.822850123,0.006331252,0.822660099,0.788461538,0.819095477,0.843902439,0.836538462,0.822131603,0.01910339,71,0.814009662,0.82635468,0.81544029,0.816176471,0.82133995,0.81866421,0.004572751,0.820638821,0.796116505,0.808933002,0.84596577,0.844660194,0.823262858,0.019608279,46,0.820950061,0.825338253,0.822884967,0.817177914,0.817283951,0.820727029,0.003175558,0.579727744,0.514438218,0.558437784,0.636676984,0.630111874,0.583878521,0.04563248,57,0.574879291,0.590630796,0.579146788,0.570083318,0.573914805,0.577731,0.007065293,0.870211661,0.85316842,0.868848202,0.888293728,0.889981821,0.874100766,0.013671326,54,0.878270579,0.878109898,0.87661495,0.873993198,0.873523358,0.876102397,0.002004692,-406,-444,-446,-342,-334,-394.4,48.27255949,90,-1554,-1571,-1533,-1630,-1664,-1590.4,48.95140447
4,0.104768991,0.006441238,0.124000072,0.01237385,1,0.001,rbf,,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0,80,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0.846156343,0.834339696,0.840929749,0.862355538,0.872971043,0.851350474,0.014237257,86,0.850554046,0.852177132,0.849986576,0.844985112,0.843028459,0.848146265,0.003510466,-151,-151,-151,-151,-151,-151,0,26,-604,-604,-604,-604,-604,-604,0
5,0.100537014,0.008360846,0.131400871,0.006006954,1,0.01,rbf,,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.636619718,0.653521127,0.642253521,0.636619718,0.630985915,0.64,0.007642062,76,0.636107193,0.643159379,0.641043724,0.634696756,0.638222849,0.63864598,0.003109366,0.975490196,0.975490196,0.995098039,0.975490196,0.985294118,0.981372549,0.007843137,58,0.987714988,0.984029484,0.984029484,0.987714988,0.988943489,0.986486486,0.002055676,0.616099071,0.627760252,0.617021277,0.616099071,0.610942249,0.617584384,0.005520791,76,0.613740458,0.619010819,0.617579029,0.612804878,0.614973262,0.615621689,0.002332865,0.755218216,0.763915547,0.761726079,0.755218216,0.754221388,0.758059889,0.003965198,74,0.757062147,0.759962049,0.758882046,0.756349953,0.75836081,0.758123401,0.001287161,0.266371654,0.310283205,0.304880237,0.266371654,0.261141104,0.281809571,0.021198338,76,0.279561793,0.293735085,0.288218757,0.275745755,0.286809862,0.284814251,0.006402817,0.845864173,0.834664329,0.841449162,0.862680171,0.873068433,0.851545254,0.014187353,81,0.850454383,0.851987975,0.850279464,0.845017655,0.843087443,0.848165384,0.003464527,-174,-168,-136,-174,-158,-162,14.25482374,72,-606,-623,-626,-608,-594,-611.4,11.75755077
6,0.093539858,0.000422882,0.100054979,0.007699099,1,0.1,rbf,,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.794366197,0.769014085,0.78028169,0.822535211,0.81971831,0.797183099,0.021154911,54,0.789844852,0.800423131,0.796191819,0.787023977,0.789844852,0.792665726,0.004906214,0.818627451,0.799019608,0.799019608,0.843137255,0.848039216,0.821568627,0.020935448,95,0.819410319,0.818181818,0.820638821,0.812039312,0.812039312,0.816461916,0.003693685,0.822660099,0.799019608,0.815,0.84729064,0.839805825,0.824755234,0.017298795,69,0.815403423,0.831460674,0.823674476,0.816049383,0.820099256,0.821337442,0.005876237,0.820638821,0.799019608,0.806930693,0.845208845,0.843902439,0.823140081,0.01880906,47,0.817401961,0.824767802,0.822153846,0.814039409,0.816049383,0.81888248,0.003975237,0.579727744,0.527496429,0.552232406,0.637301557,0.630623143,0.585476256,0.042951048,56,0.569906655,0.593129108,0.583515457,0.56487741,0.571035403,0.576492807,0.010335978,0.858135307,0.847519803,0.859855863,0.875860278,0.888618361,0.865997922,0.014490941,61,0.86837545,0.868686643,0.867067625,0.863308899,0.86123021,0.865733765,0.00295429,-406,-451,-447,-351,-343,-399.6,45.81528129,95,-1621,-1615,-1603,-1679,-1675,-1638.6,31.90987308
7,0.090600681,0.006281511,0.093582392,0.008883176,1,1,rbf,,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.847887324,0.842253521,0.864788732,0.870422535,0.873239437,0.85971831,0.012394366,32,0.877997179,0.871650212,0.870944993,0.873060649,0.870239774,0.872778561,0.002771069,0.882352941,0.892156863,0.882352941,0.906862745,0.911764706,0.895098039,0.012245094,80,0.912776413,0.885749386,0.893120393,0.896805897,0.889434889,0.895577396,0.009355987,0.857142857,0.842592593,0.882352941,0.872641509,0.873239437,0.865593867,0.014067471,36,0.879289941,0.890123457,0.883353584,0.88377724,0.885085575,0.884325959,0.003487007,0.869565217,0.866666667,0.882352941,0.889423077,0.892086331,0.880018847,0.01026714,32,0.895720313,0.887931034,0.888210141,0.890243902,0.887254902,0.889872059,0.003089317,0.687640046,0.675599704,0.723412544,0.733891194,0.739686917,0.712046081,0.025668713,32,0.749619496,0.737780403,0.735656063,0.739872694,0.734445384,0.739474808,0.005400406,0.916666667,0.910596026,0.930074016,0.940267498,0.93656668,0.926834177,0.011425656,32,0.939890899,0.943517419,0.941713312,0.938326798,0.939608181,0.940611322,0.001811305,-270,-254,-264,-217,-207,-242.4,25.5389898,80,-812,-1019,-966,-936,-994,-945.4,72.23184893
8,0.097450352,0.006067766,0.097646475,0.016043079,100,0.001,rbf,,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.791549296,0.766197183,0.774647887,0.814084507,0.814084507,0.792112676,0.01971026,61,0.783497884,0.787729196,0.789844852,0.778561354,0.779266573,0.783779972,0.004473555,0.81372549,0.789215686,0.799019608,0.823529412,0.838235294,0.812745098,0.017372593,97,0.812039312,0.802211302,0.815724816,0.804668305,0.800982801,0.807125307,0.005762182,0.821782178,0.800995025,0.806930693,0.848484848,0.838235294,0.823285608,0.018028358,70,0.811042945,0.823455233,0.81773399,0.808641975,0.811955168,0.814565862,0.005354943,0.81773399,0.795061728,0.802955665,0.835820896,0.838235294,0.817961515,0.01720239,60,0.811540823,0.812694462,0.816728167,0.806650246,0.806431664,0.810809072,0.003888017,0.574364745,0.523043092,0.539848412,0.622013243,0.619692248,0.575792348,0.040348633,62,0.557192,0.568134637,0.570450419,0.547587111,0.549760311,0.558624896,0.009303171,0.853655369,0.839598753,0.854629269,0.87167251,0.882255551,0.860362291,0.01494129,66,0.86170005,0.863420766,0.860550873,0.857007745,0.85457515,0.859450917,0.003217775,-416,-470,-449,-390,-363,-417.6,38.67091931,97,-1684,-1750,-1648,-1745,-1771,-1719.6,46.05475003
9,0.08910718,0.008170738,0.081273317,0.006235104,100,0.01,rbf,,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8,0.766197183,0.785915493,0.825352113,0.814084507,0.798309859,0.020822218,50,0.789844852,0.799012694,0.798307475,0.788434415,0.787729196,0.792665726,0.004946595,0.81372549,0.794117647,0.789215686,0.838235294,0.818627451,0.810784314,0.017701441,98,0.810810811,0.812039312,0.807125307,0.798525799,0.78992629,0.803685504,0.008346579,0.834170854,0.798029557,0.829896907,0.855,0.852040816,0.833827627,0.020381658,56,0.820895522,0.833543506,0.835877863,0.82697201,0.831824062,0.829822593,0.005335462,0.82382134,0.796068796,0.809045226,0.846534653,0.835,0.822094003,0.017969284,50,0.815822002,0.822650902,0.82125,0.8125,0.810333963,0.816511374,0.004793227,0.592877313,0.522153932,0.566730787,0.644136305,0.62294493,0.589768653,0.042822108,55,0.571239526,0.591115109,0.590496796,0.570411706,0.570687171,0.578790062,0.009816503,0.863361901,0.853622906,0.866965329,0.881021945,0.888228801,0.870640177,0.012435483,56,0.872850123,0.874859658,0.871532128,0.868582912,0.866288625,0.870822689,0.003049107,-413,-461,-463,-359,-399,-419,39.33446326,98,-1684,-1662,-1699,-1776,-1840,-1732.2,66.17068837
