,No.,gamma,cost,cf_matrix,accuracy,f1,precision,recall,mcc,type_1_error_FP,type_2_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,mcc_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
0,1,0.001,0.01,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,0.5
1,2,0.001,1.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,0.5
2,3,0.001,100.0,"[[222  71]
 [  8  13]]",0.7484076433121019,0.24761904761904763,0.15476190476190477,0.6190476190476191,0.2126015434221779,71,8,0.6883633999674955,8.68987295100474,0.1574621289314584,"[[571 184]
 [200 818]]",0.7834179357021996,0.8099009900990098,0.8163672654690619,0.8035363457760314,0.5583939788885756,184,200,0.7799138682522542
3,4,0.001,1000.0,"[[221  72]
 [  9  12]]",0.7420382165605095,0.2285714285714286,0.14285714285714285,0.5714285714285714,0.1838021971605024,72,9,0.6628473915163335,8.90986770383038,0.13613205624617886,"[[587 168]
 [211 807]]",0.7862380146644106,0.8098344204716509,0.8276923076923077,0.7927308447937131,0.5667371828036639,168,211,0.7851071442511612
4,5,0.001,10000.0,"[[188 105]
 [  6  15]]",0.6464968152866242,0.2127659574468085,0.125,0.7142857142857143,0.1829823367149655,105,6,0.6779619697708436,12.20983483301037,0.11163786511699025,"[[582 173]
 [182 836]]",0.7997743936830232,0.8248643315244204,0.8285431119920713,0.8212180746561886,0.5912004574512422,173,182,0.7960395009042532
5,6,0.01,0.01,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,0.5
6,7,0.01,1.0,"[[129 164]
 [  3  18]]",0.4681528662420382,0.1773399014778325,0.0989010989010989,0.8571428571428571,0.1505167986076894,164,3,0.6487079473427596,18.369766853275912,0.06524296766373128,"[[340 415]
 [ 91 927]]",0.7146080090242527,0.785593220338983,0.6907600596125186,0.9106090373280943,0.41607122557314974,415,91,0.6804700815779544
7,8,0.01,100.0,"[[226  67]
 [  9  12]]",0.7579617834394905,0.24,0.1518987341772152,0.5714285714285714,0.19732660567767,67,9,0.6713798147245247,8.359874455544698,0.15020297699594054,"[[584 171]
 [192 826]]",0.7952622673434856,0.8198511166253102,0.8284854563691073,0.8113948919449901,0.5829806357875468,171,192,0.7924524128599123
8,9,0.01,1000.0,"[[201  92]
 [  5  16]]",0.6910828025477707,0.24806201550387597,0.14814814814814814,0.7619047619047619,0.23555388298954344,92,5,0.7239557939216642,10.66985628429909,0.1532388101195441,"[[600 155]
 [119 899]]",0.8454596728708403,0.8677606177606176,0.8529411764705882,0.8831041257367387,0.6826028468322123,155,119,0.8389030562458528
9,10,0.01,10000.0,"[[ 96 197]
 [  3  18]]",0.3630573248407643,0.15254237288135594,0.08372093023255814,0.8571428571428571,0.09935281574144642,197,3,0.5923939541686982,21.99972229196142,0.03494483203737275,"[[623 132]
 [ 71 947]]",0.8855047941342358,0.9031950405340964,0.8776645041705282,0.9302554027504911,0.7653250722220166,132,71,0.8777104828321992
