,No.,kernel,gamma,cost,cf_matrix,accuracy,f1,precision,recall,mcc,type_1_error_FP,type_2_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,mcc_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
0,1,linear,0.001,0.01,"[[  2 291]
 [  0  21]]",0.073248408,0.126126126,0.067307692,1,0.021434509,291,0,0.503412969,32.00960705,0.000918454,"[[   0  755]
 [   0 1018]]",0.574168077,0.729487639,0.574168077,1,0,755,0,0.5
1,2,linear,0.001,1,"[[228  65]
 [  9  12]]",0.76433121,0.244897959,0.155844156,0.571428571,0.202991296,65,9,0.674792784,8.139877156,0.156220495,"[[588 167]
 [207 811]]",0.789058094,0.812625251,0.829243354,0.796660118,0.572157508,167,207,0.787734032
2,3,linear,0.001,100,"[[127 166]
 [  1  20]]",0.468152866,0.193236715,0.107526882,0.952380952,0.196144349,166,1,0.692914026,18.36977195,0.083027314,"[[598 157]
 [196 822]]",0.800902425,0.823234852,0.839632278,0.807465619,0.596140227,157,196,0.799759299
3,4,linear,0.001,1000,"[[ 72 221]
 [  1  20]]",0.292993631,0.152671756,0.082987552,0.952380952,0.11716295,221,1,0.59905737,24.41969768,0.033792587,"[[597 158]
 [188 830]]",0.804850536,0.827517448,0.840080972,0.815324165,0.603315402,158,188,0.803026321
4,5,linear,0.001,10000,"[[ 62 231]
 [  1  20]]",0.261146497,0.147058824,0.079681275,0.952380952,0.102291742,231,1,0.581992524,25.51968417,0.026954826,"[[596 159]
 [186 832]]",0.805414552,0.828272773,0.839556004,0.817288802,0.60419341,159,186,0.803346388
5,6,linear,0.01,0.01,"[[  2 291]
 [  0  21]]",0.073248408,0.126126126,0.067307692,1,0.021434509,291,0,0.503412969,32.00960705,0.000918454,"[[   0  755]
 [   0 1018]]",0.574168077,0.729487639,0.574168077,1,0,755,0,0.5
6,7,linear,0.01,1,"[[228  65]
 [  9  12]]",0.76433121,0.244897959,0.155844156,0.571428571,0.202991296,65,9,0.674792784,8.139877156,0.156220495,"[[588 167]
 [207 811]]",0.789058094,0.812625251,0.829243354,0.796660118,0.572157508,167,207,0.787734032
7,8,linear,0.01,100,"[[127 166]
 [  1  20]]",0.468152866,0.193236715,0.107526882,0.952380952,0.196144349,166,1,0.692914026,18.36977195,0.083027314,"[[598 157]
 [196 822]]",0.800902425,0.823234852,0.839632278,0.807465619,0.596140227,157,196,0.799759299
8,9,linear,0.01,1000,"[[ 72 221]
 [  1  20]]",0.292993631,0.152671756,0.082987552,0.952380952,0.11716295,221,1,0.59905737,24.41969768,0.033792587,"[[597 158]
 [188 830]]",0.804850536,0.827517448,0.840080972,0.815324165,0.603315402,158,188,0.803026321
9,10,linear,0.01,10000,"[[ 62 231]
 [  1  20]]",0.261146497,0.147058824,0.079681275,0.952380952,0.102291742,231,1,0.581992524,25.51968417,0.026954826,"[[596 159]
 [186 832]]",0.805414552,0.828272773,0.839556004,0.817288802,0.60419341,159,186,0.803346388
