,No.,kernel,gamma,cost,degree,cf_matrix,accuracy,f1,precision,recall,mcc,type_1_error_FP,type_2_error_FN,cost_wafer,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,mcc_train,type_1_error_FP_train,type_2_error_FN_train,cost_wafer_train,auc_train
0,1,poly,0.001,0.01,1,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
1,2,poly,0.001,0.01,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
2,3,poly,0.001,0.01,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
3,4,poly,0.001,0.01,4,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
4,5,poly,0.001,0.01,5,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
5,6,poly,0.001,1.0,1,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
6,7,poly,0.001,1.0,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
7,8,poly,0.001,1.0,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
8,9,poly,0.001,1.0,4,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
9,10,poly,0.001,1.0,5,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
10,11,poly,0.001,100.0,1,"[[221  72]
 [  8  13]]",0.7452229299363057,0.24528301886792456,0.15294117647058825,0.6190476190476191,0.2098893166666864,8,72,728,0.6866569153258573,8.799871600661875,0.15460725583899848,"[[571 184]
 [189 829]]",0.7896221094190637,0.8163466272772034,0.8183613030602171,0.8143418467583498,0.5701549645795454,189,184,2029,0.7853166187434133
11,12,poly,0.001,100.0,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
12,13,poly,0.001,100.0,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
13,14,poly,0.001,100.0,4,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
14,15,poly,0.001,100.0,5,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
15,16,poly,0.001,1000.0,1,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,9,65,659,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,207,167,1877,0.7877340324490301
16,17,poly,0.001,1000.0,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
17,18,poly,0.001,1000.0,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
18,19,poly,0.001,1000.0,4,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
19,20,poly,0.001,1000.0,5,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
20,21,poly,0.001,10000.0,1,"[[203  90]
 [  7  14]]",0.6910828025477707,0.22399999999999998,0.1346153846153846,0.6666666666666666,0.19081624622607246,7,90,907,0.6797497155858929,10.669851191321827,0.12682759016111456,"[[590 165]
 [199 819]]",0.7946982515510435,0.8181818181818182,0.8323170731707317,0.8045186640471512,0.5830299428054354,199,165,1849,0.7929878088447677
21,22,poly,0.001,10000.0,2,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,9,65,659,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[598 157]
 [237 781]]",0.7777777777777778,0.7985685071574642,0.8326226012793176,0.7671905697445972,0.5539922530756488,237,157,1807,0.7796217749385237
22,23,poly,0.001,10000.0,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
23,24,poly,0.001,10000.0,4,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
24,25,poly,0.001,10000.0,5,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
25,26,poly,0.01,0.01,1,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
26,27,poly,0.01,0.01,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
27,28,poly,0.01,0.01,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
28,29,poly,0.01,0.01,4,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
29,30,poly,0.01,0.01,5,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
30,31,poly,0.01,1.0,1,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,0,291,2910,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
31,32,poly,0.01,1.0,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
32,33,poly,0.01,1.0,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
33,34,poly,0.01,1.0,4,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
34,35,poly,0.01,1.0,5,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
35,36,poly,0.01,100.0,1,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,9,65,659,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,207,167,1877,0.7877340324490301
36,37,poly,0.01,100.0,2,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,9,65,659,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[598 157]
 [237 781]]",0.7777777777777778,0.7985685071574642,0.8326226012793176,0.7671905697445972,0.5539922530756488,237,157,1807,0.7796217749385237
37,38,poly,0.01,100.0,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,0,293,2930,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,0,755,7550,0.5
