,hyperparam,test_accuracy_mean,test_recall_mean,test_precision_mean,test_f1_mean,test_type_1_error_FP_mean,test_type_2_error_FN_mean,test_auc_mean,test_cost_mean,hyperparam_str,batch_size,epochs,activation,dropout_rate,neurons
0,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",0.5723577235772358,0.7168604405360842,0.6238750054032891,0.6586986173171097,96.2,61.6,0.541272674084703,404.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",100,10,linear,0.0,0.5
5,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",0.5934959349593496,0.6375470342028495,0.6643028596669324,0.6496765489492163,71.2,78.8,0.5840880866378486,465.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",100,10,linear,0.0,1.5
10,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",0.6254742547425474,0.6689384010484928,0.6919363571867592,0.6773552217161102,66.2,72.0,0.6161875692938525,426.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",100,10,linear,0.0,1.0
15,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",0.5886178861788618,0.6474992601361349,0.6515309565121595,0.6481421959112895,75.2,76.6,0.5757320281161679,458.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",100,10,linear,0.0,2.0
20,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",0.5582655826558265,0.6799518031539339,0.616160696652513,0.6440273553132265,93.4,69.6,0.5318415342015749,441.4,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",100,10,linear,0.1,0.5
25,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",0.6493224932249323,0.7554179173889147,0.6942799579005288,0.7167267441439551,76.2,53.2,0.6265630890534675,342.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",100,10,linear,0.1,1.5
30,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",0.567479674796748,0.700097239250835,0.6203193584739107,0.6554669088928379,94.4,65.2,0.5389210490433332,420.4,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",100,10,linear,0.1,1.0
35,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}",0.6699186991869919,0.8041220986767007,0.6930993298722109,0.7403876355967426,79.2,42.6,0.6409247649186919,292.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}",100,10,linear,0.1,2.0
40,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}",0.5869918699186992,0.7821629391620514,0.6257060974369425,0.68913875233357,105.0,47.4,0.5449416996263377,342.0,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}",100,10,linear,0.3,0.5
45,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}",0.5864498644986449,0.898959962795417,0.6061058188969832,0.7152884936607653,130.6,22.0,0.5189336237818145,240.6,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}",100,10,linear,0.3,1.5
50,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}",0.6303523035230352,0.8251807381727477,0.645828353829614,0.7241331835982342,98.4,38.0,0.5880173471275032,288.4,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}",100,10,linear,0.3,1.0
55,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}",0.581029810298103,0.8740244366465142,0.6005582104724261,0.7089997893872667,127.2,27.4,0.5175847174518733,264.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}",100,10,linear,0.3,2.0
60,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}",0.5414634146341464,0.5620090474781212,0.5011729527409935,0.5264039572653129,74.0,95.2,0.5369125056142784,550.0,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}",100,10,linear,0.5,0.5
65,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1.5}",0.6227642276422765,0.7794233289646134,0.6645424713399263,0.7029658979913396,91.2,48.0,0.5891539788775664,331.2,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1.5}",100,10,linear,0.5,1.5
70,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}",0.6157181571815717,0.9060457447258277,0.6237338261393264,0.7347717672350498,121.4,20.4,0.5525828235654233,223.4,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}",100,10,linear,0.5,1.0
75,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 2}",0.6211382113821139,0.9382488479262673,0.6221064697638494,0.7447082363090841,126.4,13.4,0.5520409453991741,193.4,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 2}",100,10,linear,0.5,2.0
80,"{'batch_size': 100, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 0.5}",0.5468834688346884,0.7811355853380121,0.5829724305826749,0.6588725802205827,119.6,47.6,0.49634506698061287,357.6,"{'batch_size': 100, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 0.5}",100,10,relu,0.0,0.5
85,"{'batch_size': 100, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1.5}",0.62710027100271,0.6560013528939247,0.6993695356027314,0.6745040352804959,62.8,74.8,0.6209555387683288,436.8,"{'batch_size': 100, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1.5}",100,10,relu,0.0,1.5
90,"{'batch_size': 100, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1}",0.5387533875338754,0.5786242759903606,0.620305589316367,0.5974990361625337,78.6,91.6,0.5301103255169648,536.6,"{'batch_size': 100, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1}",100,10,relu,0.0,1.0
