,Unnamed: 0,fold,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_type_1_error_FP,test_type_2_error_FN,test_log_loss,test_cohen_kappa_score,hyperparam_str
0,0,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",100,10,linear,0.0,0.5,"[[ 72  80]
 [ 51 166]]",0.6449864498644986,0.717062634989201,0.6747967479674797,0.7649769585253456,0.6193305845258308,80,51,12.261906979749906,0.2456813819577734,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}"
1,1,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",100,10,linear,0.0,1.0,"[[ 96  56]
 [ 56 161]]",0.6964769647696477,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.6867572156196944,56,56,10.483435592645224,0.3735144312393887,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}"
2,2,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",100,10,linear,0.0,1.5,"[[ 75  77]
 [ 71 146]]",0.5989159891598916,0.6636363636363636,0.6547085201793722,0.6728110599078341,0.5831160562697065,77,71,13.85311781964473,0.16722071426393,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}"
3,3,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",100,10,linear,0.0,2.0,"[[ 85  67]
 [ 88 129]]",0.5799457994579946,0.6246973365617433,0.6581632653061225,0.5944700460829493,0.5768402861993693,67,88,14.50830329062054,0.1505651018074347,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}"
4,4,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",100,10,linear,0.1,0.5,"[[ 94  58]
 [ 35 182]]",0.7479674796747967,0.7964989059080961,0.7583333333333333,0.8387096774193549,0.728565365025467,58,35,8.705020545738876,0.4677306779582151,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}"
5,5,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",100,10,linear,0.1,1.0,"[[ 48 104]
 [ 93 124]]",0.4661246612466124,0.5573033707865168,0.543859649122807,0.5714285714285714,0.4436090225563909,104,93,18.43962630875378,-0.1140177463105143,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}"
6,6,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",100,10,linear,0.1,1.5,"[[100  52]
 [ 62 155]]",0.6910569105691057,0.7311320754716982,0.748792270531401,0.7142857142857143,0.6860902255639099,52,62,10.67062896500322,0.3685490407997838,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}"
7,7,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}",100,10,linear,0.1,2.0,"[[ 99  53]
 [ 33 184]]",0.7669376693766937,0.8105726872246697,0.7763713080168776,0.847926267281106,0.7496210283773952,53,33,8.049802570802491,0.5092781592132121,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}"
8,8,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}",100,10,linear,0.3,0.5,"[[ 83  69]
 [ 48 169]]",0.6829268292682927,0.7428571428571429,0.7100840336134454,0.7788018433179723,0.6624272374484599,69,48,10.951468862946433,0.3317183412535022,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}"
9,9,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}",100,10,linear,0.3,1.0,"[[ 50 102]
 [ 25 192]]",0.6558265582655827,0.7514677103718199,0.6530612244897959,0.8847926267281107,0.6068699975745817,102,25,11.887550572063784,0.2312878303233109,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}"
10,10,1,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}",100,10,linear,0.3,1.5,"[[  4 148]
 [  4 213]]",0.5880758807588076,0.7370242214532872,0.590027700831025,0.9815668202764976,0.5039413048750909,148,4,14.227675751886432,0.0091859807801017,"{'batch_size': 100, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}"
