,No.,kernel,gamma,cost,degree,cf_matrix,accuracy,f1,precision,recall,mcc,type_1_error_FP,type_2_error_FN,cost_wafer,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,mcc_train,type_1_error_FP_train,type_2_error_FN_train,cost_wafer_train,auc_train
0,1,linear,0.001,0.01,1,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
1,2,linear,0.001,0.01,2,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
2,3,linear,0.001,0.01,3,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
3,4,linear,0.001,1.0,1,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
4,5,linear,0.001,1.0,2,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
5,6,linear,0.001,1.0,3,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
6,7,linear,0.001,100.0,1,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
7,8,linear,0.001,100.0,2,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
8,9,linear,0.001,100.0,3,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
9,10,linear,0.001,1000.0,1,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
10,11,linear,0.001,1000.0,2,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
11,12,linear,0.001,1000.0,3,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
12,13,linear,0.001,10000.0,1,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
13,14,linear,0.001,10000.0,2,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
14,15,linear,0.001,10000.0,3,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
15,16,linear,0.01,0.01,1,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
16,17,linear,0.01,0.01,2,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
17,18,linear,0.01,0.01,3,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
18,19,linear,0.01,1.0,1,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
19,20,linear,0.01,1.0,2,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
20,21,linear,0.01,1.0,3,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
21,22,linear,0.01,100.0,1,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
22,23,linear,0.01,100.0,2,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
23,24,linear,0.01,100.0,3,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
24,25,linear,0.01,1000.0,1,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
25,26,linear,0.01,1000.0,2,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
26,27,linear,0.01,1000.0,3,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
27,28,linear,0.01,10000.0,1,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
28,29,linear,0.01,10000.0,2,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
29,30,linear,0.01,10000.0,3,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
30,31,linear,0.1,0.01,1,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
31,32,linear,0.1,0.01,2,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
32,33,linear,0.1,0.01,3,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
33,34,linear,0.1,1.0,1,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
34,35,linear,0.1,1.0,2,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
35,36,linear,0.1,1.0,3,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
36,37,linear,0.1,100.0,1,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
37,38,linear,0.1,100.0,2,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
38,39,linear,0.1,100.0,3,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
39,40,linear,0.1,1000.0,1,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
40,41,linear,0.1,1000.0,2,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
41,42,linear,0.1,1000.0,3,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
42,43,linear,0.1,10000.0,1,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
43,44,linear,0.1,10000.0,2,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
44,45,linear,0.1,10000.0,3,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
45,46,linear,1.0,0.01,1,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
46,47,linear,1.0,0.01,2,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
47,48,linear,1.0,0.01,3,"[[  2 291]
 [  0  21]]",0.0732484076433121,0.12612612612612611,0.0673076923076923,1.0,0.021434508922500487,291,0,291,0.5034129692832765,32.009607050226734,0.0009184543724988226,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
48,49,linear,1.0,1.0,1,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
49,50,linear,1.0,1.0,2,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
50,51,linear,1.0,1.0,3,"[[228  65]
 [  9  12]]",0.7643312101910829,0.24489795918367346,0.15584415584415584,0.5714285714285714,0.2029912964283027,65,9,155,0.6747927840078011,8.139877156230424,0.1562204953155638,"[[588 167]
 [207 811]]",0.7890580936266215,0.812625250501002,0.8292433537832311,0.7966601178781926,0.5721575075950492,167,207,2237,0.7877340324490301
51,52,linear,1.0,100.0,1,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
52,53,linear,1.0,100.0,2,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
53,54,linear,1.0,100.0,3,"[[127 166]
 [  1  20]]",0.4681528662420382,0.19323671497584544,0.10752688172043011,0.9523809523809523,0.19614434886447216,166,1,176,0.6929140256785308,18.369771946253174,0.08302731437764499,"[[598 157]
 [196 822]]",0.8009024252679074,0.8232348522784176,0.839632277834525,0.8074656188605108,0.596140226916354,157,196,2117,0.7997592994964806
54,55,linear,1.0,1000.0,1,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
55,56,linear,1.0,1000.0,2,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
56,57,linear,1.0,1000.0,3,"[[ 72 221]
 [  1  20]]",0.2929936305732484,0.15267175572519084,0.08298755186721991,0.9523809523809523,0.11716294963551042,221,1,231,0.5990573703884283,24.419697677395682,0.03379258725362455,"[[597 158]
 [188 830]]",0.8048505358150028,0.827517447657029,0.840080971659919,0.8153241650294696,0.6033154024485005,158,188,2038,0.8030263209253309
57,58,linear,1.0,10000.0,1,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
58,59,linear,1.0,10000.0,2,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
59,60,linear,1.0,10000.0,3,"[[ 62 231]
 [  1  20]]",0.2611464968152866,0.14705882352941177,0.0796812749003984,0.9523809523809523,0.10229174167954315,231,1,241,0.5819925239720461,25.51968417396705,0.02695482595570764,"[[596 159]
 [186 832]]",0.805414551607445,0.8282727725236435,0.8395560040363269,0.8172888015717092,0.6041934100960831,159,186,2019,0.8033463875408214
60,61,rbf,0.001,0.01,1,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,293,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
61,62,rbf,0.001,0.01,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,293,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
62,63,rbf,0.001,0.01,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,293,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
63,64,rbf,0.001,1.0,1,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,293,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
64,65,rbf,0.001,1.0,2,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,293,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
65,66,rbf,0.001,1.0,3,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,293,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,755,0.5
